Requirement already satisfied: torchvision in ./y/envs/thesis_env_310/lib/python3.10/site-packages (0.20.1+cu121)
Requirement already satisfied: tqdm in ./y/envs/thesis_env_310/lib/python3.10/site-packages (4.67.1)
Requirement already satisfied: numpy in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.1.2)
Requirement already satisfied: torch==2.5.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.5.1+cu121)
Requirement already satisfied: pillow!=8.3.*,>=5.3.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (11.0.0)
Requirement already satisfied: filelock in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.13.1)
Requirement already satisfied: typing-extensions>=4.8.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (4.12.2)
Requirement already satisfied: networkx in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.3)
Requirement already satisfied: jinja2 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.4)
Requirement already satisfied: fsspec in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2024.6.1)
Requirement already satisfied: nvidia-cuda-nvrtc-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-runtime-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-cupti-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cudnn-cu12==9.1.0.70 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (9.1.0.70)
Requirement already satisfied: nvidia-cublas-cu12==12.1.3.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.3.1)
Requirement already satisfied: nvidia-cufft-cu12==11.0.2.54 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.0.2.54)
Requirement already satisfied: nvidia-curand-cu12==10.3.2.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (10.3.2.106)
Requirement already satisfied: nvidia-cusolver-cu12==11.4.5.107 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.4.5.107)
Requirement already satisfied: nvidia-cusparse-cu12==12.1.0.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.0.106)
Requirement already satisfied: nvidia-nccl-cu12==2.21.5 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2.21.5)
Requirement already satisfied: nvidia-nvtx-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: triton==3.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.0)
Requirement already satisfied: sympy==1.13.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (1.13.1)
Requirement already satisfied: nvidia-nvjitlink-cu12 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from nvidia-cusolver-cu12==11.4.5.107->torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: mpmath<1.4,>=1.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from sympy==1.13.1->torch==2.5.1->torchvision) (1.3.0)
Requirement already satisfied: MarkupSafe>=2.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from jinja2->torch==2.5.1->torchvision) (2.1.5)
Using device: cuda
Device name: Tesla V100-SXM2-16GB
with 16144.12 MB memory
Using 1 GPUs.


=== [1/10] Creating EA Adversarial Image for /home/users/atodorova/alisa-thesis/malnet-cnn/test/spyware/plankton/86ECD8958D6A13192A7B927511F38F812BA0FFBD22DC2CD79D15EFAB6E1820CC.png ===

--- Original Prediction Results ---
Predicted class: 42 (trojan)

Confidence     : 0.8936

True class     : 39 (spyware)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 1527 with confidence 0.3977!

Targeted adversarial image created in 1878 iterations.
Benign first predicted at iteration 1527 with confidence 0.3977.

Benign probability changes (iteration, prob):
Iteration 0: Benign prob = 0.0000
Iteration 205: Benign prob = 0.0000
Iteration 216: Benign prob = 0.0000
Iteration 232: Benign prob = 0.0000
Iteration 242: Benign prob = 0.0001
Iteration 248: Benign prob = 0.0001
Iteration 258: Benign prob = 0.0001
Iteration 267: Benign prob = 0.0001
Iteration 275: Benign prob = 0.0001
Iteration 288: Benign prob = 0.0001
Iteration 303: Benign prob = 0.0001
Iteration 318: Benign prob = 0.0001
Iteration 335: Benign prob = 0.0001
Iteration 359: Benign prob = 0.0002
Iteration 368: Benign prob = 0.0002
Iteration 379: Benign prob = 0.0002
Iteration 392: Benign prob = 0.0002
Iteration 399: Benign prob = 0.0002
Iteration 404: Benign prob = 0.0002
Iteration 407: Benign prob = 0.0002
Iteration 412: Benign prob = 0.0002
Iteration 417: Benign prob = 0.0002
Iteration 420: Benign prob = 0.0003
Iteration 426: Benign prob = 0.0003
Iteration 431: Benign prob = 0.0003
Iteration 432: Benign prob = 0.0003
Iteration 435: Benign prob = 0.0003
Iteration 436: Benign prob = 0.0003
Iteration 440: Benign prob = 0.0003
Iteration 443: Benign prob = 0.0004
Iteration 446: Benign prob = 0.0004
Iteration 448: Benign prob = 0.0004
Iteration 452: Benign prob = 0.0004
Iteration 453: Benign prob = 0.0004
Iteration 454: Benign prob = 0.0005
Iteration 456: Benign prob = 0.0005
Iteration 457: Benign prob = 0.0005
Iteration 460: Benign prob = 0.0005
Iteration 462: Benign prob = 0.0005
Iteration 465: Benign prob = 0.0005
Iteration 467: Benign prob = 0.0006
Iteration 469: Benign prob = 0.0006
Iteration 470: Benign prob = 0.0006
Iteration 471: Benign prob = 0.0006
Iteration 472: Benign prob = 0.0007
Iteration 473: Benign prob = 0.0007
Iteration 475: Benign prob = 0.0007
Iteration 477: Benign prob = 0.0007
Iteration 481: Benign prob = 0.0008
Iteration 482: Benign prob = 0.0008
Iteration 483: Benign prob = 0.0008
Iteration 484: Benign prob = 0.0009
Iteration 486: Benign prob = 0.0009
Iteration 487: Benign prob = 0.0009
Iteration 489: Benign prob = 0.0009
Iteration 490: Benign prob = 0.0009
Iteration 492: Benign prob = 0.0010
Iteration 493: Benign prob = 0.0010
Iteration 494: Benign prob = 0.0011
Iteration 495: Benign prob = 0.0011
Iteration 498: Benign prob = 0.0011
Iteration 499: Benign prob = 0.0012
Iteration 500: Benign prob = 0.0012
Iteration 501: Benign prob = 0.0012
Iteration 503: Benign prob = 0.0013
Iteration 504: Benign prob = 0.0013
Iteration 505: Benign prob = 0.0013
Iteration 508: Benign prob = 0.0014
Iteration 510: Benign prob = 0.0015
Iteration 511: Benign prob = 0.0016
Iteration 512: Benign prob = 0.0016
Iteration 513: Benign prob = 0.0017
Iteration 514: Benign prob = 0.0017
Iteration 515: Benign prob = 0.0018
Iteration 516: Benign prob = 0.0019
Iteration 518: Benign prob = 0.0019
Iteration 519: Benign prob = 0.0019
Iteration 520: Benign prob = 0.0020
Iteration 521: Benign prob = 0.0021
Iteration 522: Benign prob = 0.0021
Iteration 523: Benign prob = 0.0022
Iteration 525: Benign prob = 0.0022
Iteration 526: Benign prob = 0.0024
Iteration 527: Benign prob = 0.0025
Iteration 528: Benign prob = 0.0025
Iteration 529: Benign prob = 0.0025
Iteration 530: Benign prob = 0.0026
Iteration 531: Benign prob = 0.0027
Iteration 532: Benign prob = 0.0028
Iteration 534: Benign prob = 0.0028
Iteration 535: Benign prob = 0.0029
Iteration 536: Benign prob = 0.0029
Iteration 537: Benign prob = 0.0031
Iteration 538: Benign prob = 0.0031
Iteration 539: Benign prob = 0.0032
Iteration 540: Benign prob = 0.0033
Iteration 541: Benign prob = 0.0035
Iteration 542: Benign prob = 0.0036
Iteration 543: Benign prob = 0.0037
Iteration 545: Benign prob = 0.0039
Iteration 546: Benign prob = 0.0040
Iteration 547: Benign prob = 0.0040
Iteration 548: Benign prob = 0.0041
Iteration 549: Benign prob = 0.0041
Iteration 550: Benign prob = 0.0041
Iteration 551: Benign prob = 0.0043
Iteration 552: Benign prob = 0.0044
Iteration 553: Benign prob = 0.0045
Iteration 554: Benign prob = 0.0046
Iteration 555: Benign prob = 0.0047
Iteration 556: Benign prob = 0.0049
Iteration 557: Benign prob = 0.0050
Iteration 558: Benign prob = 0.0051
Iteration 560: Benign prob = 0.0053
Iteration 562: Benign prob = 0.0056
Iteration 563: Benign prob = 0.0059
Iteration 564: Benign prob = 0.0060
Iteration 565: Benign prob = 0.0060
Iteration 566: Benign prob = 0.0062
Iteration 567: Benign prob = 0.0064
Iteration 568: Benign prob = 0.0065
