Requirement already satisfied: torchvision in ./y/envs/thesis_env_310/lib/python3.10/site-packages (0.20.1+cu121)
Requirement already satisfied: tqdm in ./y/envs/thesis_env_310/lib/python3.10/site-packages (4.67.1)
Requirement already satisfied: numpy in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.1.2)
Requirement already satisfied: torch==2.5.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.5.1+cu121)
Requirement already satisfied: pillow!=8.3.*,>=5.3.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (11.0.0)
Requirement already satisfied: filelock in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.13.1)
Requirement already satisfied: typing-extensions>=4.8.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (4.12.2)
Requirement already satisfied: networkx in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.3)
Requirement already satisfied: jinja2 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.4)
Requirement already satisfied: fsspec in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2024.6.1)
Requirement already satisfied: nvidia-cuda-nvrtc-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-runtime-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-cupti-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cudnn-cu12==9.1.0.70 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (9.1.0.70)
Requirement already satisfied: nvidia-cublas-cu12==12.1.3.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.3.1)
Requirement already satisfied: nvidia-cufft-cu12==11.0.2.54 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.0.2.54)
Requirement already satisfied: nvidia-curand-cu12==10.3.2.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (10.3.2.106)
Requirement already satisfied: nvidia-cusolver-cu12==11.4.5.107 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.4.5.107)
Requirement already satisfied: nvidia-cusparse-cu12==12.1.0.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.0.106)
Requirement already satisfied: nvidia-nccl-cu12==2.21.5 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2.21.5)
Requirement already satisfied: nvidia-nvtx-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: triton==3.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.0)
Requirement already satisfied: sympy==1.13.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (1.13.1)
Requirement already satisfied: nvidia-nvjitlink-cu12 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from nvidia-cusolver-cu12==11.4.5.107->torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: mpmath<1.4,>=1.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from sympy==1.13.1->torch==2.5.1->torchvision) (1.3.0)
Requirement already satisfied: MarkupSafe>=2.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from jinja2->torch==2.5.1->torchvision) (2.1.5)
Using device: cuda
Device name: Tesla V100-SXM2-16GB
with 16144.12 MB memory
Using 1 GPUs.


=== [1/10] Creating EA Adversarial Image for /home/users/atodorova/alisa-thesis/malnet-cnn/test/adsware/admobads/00FC79832B84F9BCD391A29FB2EFC46C139FA03C827E91FB51BBDFA3003868B3.png ===

--- Original Prediction Results ---
Predicted class: 42 (trojan)

Confidence     : 0.9139

True class     : 3 (adsware)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 1448 with confidence 0.3919!

Targeted adversarial image created in 1942 iterations.
Benign first predicted at iteration 1448 with confidence 0.3919.

Benign probability changes (iteration, prob):
Iteration 0: Benign prob = 0.0000
Iteration 192: Benign prob = 0.0000
Iteration 208: Benign prob = 0.0000
Iteration 220: Benign prob = 0.0000
Iteration 233: Benign prob = 0.0001
Iteration 242: Benign prob = 0.0001
Iteration 254: Benign prob = 0.0001
Iteration 268: Benign prob = 0.0001
Iteration 291: Benign prob = 0.0001
Iteration 314: Benign prob = 0.0001
Iteration 333: Benign prob = 0.0001
Iteration 346: Benign prob = 0.0001
Iteration 358: Benign prob = 0.0001
Iteration 367: Benign prob = 0.0001
Iteration 375: Benign prob = 0.0002
Iteration 382: Benign prob = 0.0002
Iteration 391: Benign prob = 0.0002
Iteration 396: Benign prob = 0.0002
Iteration 399: Benign prob = 0.0002
Iteration 403: Benign prob = 0.0002
Iteration 407: Benign prob = 0.0002
Iteration 411: Benign prob = 0.0003
Iteration 412: Benign prob = 0.0003
Iteration 417: Benign prob = 0.0003
Iteration 419: Benign prob = 0.0003
Iteration 420: Benign prob = 0.0003
Iteration 423: Benign prob = 0.0003
Iteration 427: Benign prob = 0.0003
Iteration 429: Benign prob = 0.0003
Iteration 432: Benign prob = 0.0004
Iteration 434: Benign prob = 0.0004
Iteration 436: Benign prob = 0.0004
Iteration 439: Benign prob = 0.0004
Iteration 442: Benign prob = 0.0004
Iteration 445: Benign prob = 0.0004
Iteration 446: Benign prob = 0.0005
Iteration 447: Benign prob = 0.0005
Iteration 448: Benign prob = 0.0006
Iteration 450: Benign prob = 0.0006
Iteration 453: Benign prob = 0.0006
Iteration 454: Benign prob = 0.0007
Iteration 456: Benign prob = 0.0007
Iteration 457: Benign prob = 0.0007
Iteration 459: Benign prob = 0.0008
Iteration 461: Benign prob = 0.0008
Iteration 464: Benign prob = 0.0008
Iteration 465: Benign prob = 0.0008
Iteration 467: Benign prob = 0.0008
Iteration 469: Benign prob = 0.0009
Iteration 470: Benign prob = 0.0009
Iteration 472: Benign prob = 0.0009
Iteration 473: Benign prob = 0.0010
Iteration 475: Benign prob = 0.0011
Iteration 477: Benign prob = 0.0011
Iteration 478: Benign prob = 0.0011
Iteration 479: Benign prob = 0.0011
Iteration 481: Benign prob = 0.0012
Iteration 482: Benign prob = 0.0012
Iteration 483: Benign prob = 0.0014
Iteration 484: Benign prob = 0.0014
Iteration 486: Benign prob = 0.0014
Iteration 487: Benign prob = 0.0015
Iteration 488: Benign prob = 0.0015
Iteration 489: Benign prob = 0.0015
Iteration 492: Benign prob = 0.0016
Iteration 493: Benign prob = 0.0016
Iteration 494: Benign prob = 0.0018
Iteration 495: Benign prob = 0.0018
Iteration 497: Benign prob = 0.0019
Iteration 499: Benign prob = 0.0021
Iteration 500: Benign prob = 0.0022
Iteration 501: Benign prob = 0.0022
Iteration 504: Benign prob = 0.0023
Iteration 505: Benign prob = 0.0024
Iteration 508: Benign prob = 0.0025
Iteration 509: Benign prob = 0.0025
Iteration 510: Benign prob = 0.0027
Iteration 511: Benign prob = 0.0027
Iteration 512: Benign prob = 0.0029
Iteration 513: Benign prob = 0.0029
Iteration 514: Benign prob = 0.0029
Iteration 515: Benign prob = 0.0031
Iteration 516: Benign prob = 0.0032
Iteration 517: Benign prob = 0.0033
Iteration 518: Benign prob = 0.0033
Iteration 519: Benign prob = 0.0033
Iteration 520: Benign prob = 0.0036
Iteration 522: Benign prob = 0.0037
Iteration 523: Benign prob = 0.0038
Iteration 524: Benign prob = 0.0039
Iteration 525: Benign prob = 0.0039
Iteration 526: Benign prob = 0.0042
Iteration 527: Benign prob = 0.0044
Iteration 528: Benign prob = 0.0044
Iteration 529: Benign prob = 0.0044
Iteration 530: Benign prob = 0.0046
Iteration 531: Benign prob = 0.0047
Iteration 532: Benign prob = 0.0048
Iteration 534: Benign prob = 0.0049
Iteration 535: Benign prob = 0.0051
Iteration 537: Benign prob = 0.0053
Iteration 538: Benign prob = 0.0053
Iteration 539: Benign prob = 0.0054
Iteration 540: Benign prob = 0.0055
Iteration 541: Benign prob = 0.0057
Iteration 542: Benign prob = 0.0057
Iteration 543: Benign prob = 0.0060
Iteration 545: Benign prob = 0.0065
Iteration 546: Benign prob = 0.0067
Iteration 548: Benign prob = 0.0067
Iteration 549: Benign prob = 0.0068
Iteration 550: Benign prob = 0.0068
Iteration 551: Benign prob = 0.0071
Iteration 552: Benign prob = 0.0074
Iteration 553: Benign prob = 0.0076
Iteration 554: Benign prob = 0.0076
Iteration 555: Benign prob = 0.0077
Iteration 556: Benign prob = 0.0078
Iteration 557: Benign prob = 0.0083
Iteration 558: Benign prob = 0.0085
Iteration 559: Benign prob = 0.0085
Iteration 560: Benign prob = 0.0089
Iteration 561: Benign prob = 0.0089
Iteration 562: Benign prob = 0.0094
Iteration 563: Benign prob = 0.0097
Iteration 565: Benign prob = 0.0100
Iteration 566: Benign prob = 0.0101
Iteration 567: Benign prob = 0.0103
Iteration 568: Benign prob = 0.0105
Iteration 569: Benign prob = 0.0106
Iteration 570: Benign prob = 0.0107
Iteration 571: Benign prob = 0.0109
Iteration 572: Benign prob = 0.0110
Iteration 573: Benign prob = 0.0112
Iteration 574: Benign prob = 0.0116
Iteration 575: Benign prob = 0.0116
Iteration 576: Benign prob = 0.0118
Iteration 577: Benign prob = 0.0119
Iteration 578: Benign prob = 0.0126
Iteration 579: Benign prob = 0.0131
Iteration 580: Benign prob = 0.0133
Iteration 581: Benign prob = 0.0133
Iteration 583: Benign prob = 0.0135
Iteration 584: Benign prob = 0.0135
Iteration 585: Benign prob = 0.0150
Iteration 586: Benign prob = 0.0150
Iteration 587: Benign prob = 0.0151
Iteration 588: Benign prob = 0.0155
Iteration 589: Benign prob = 0.0155
Iteration 590: Benign prob = 0.0157
Iteration 591: Benign prob = 0.0158
Iteration 592: Benign prob = 0.0159
Iteration 593: Benign prob = 0.0159
Iteration 594: Benign prob = 0.0161
Iteration 595: Benign prob = 0.0165
Iteration 597: Benign prob = 0.0173
Iteration 598: Benign prob = 0.0176
Iteration 599: Benign prob = 0.0178
Iteration 600: Benign prob = 0.0182
Iteration 602: Benign prob = 0.0183
Iteration 603: Benign prob = 0.0188
Iteration 604: Benign prob = 0.0196
Iteration 606: Benign prob = 0.0198
Iteration 607: Benign prob = 0.0202
Iteration 609: Benign prob = 0.0202
Iteration 610: Benign prob = 0.0207
Iteration 611: Benign prob = 0.0212
Iteration 612: Benign prob = 0.0213
Iteration 613: Benign prob = 0.0218
Iteration 614: Benign prob = 0.0218
Iteration 615: Benign prob = 0.0221
Iteration 616: Benign prob = 0.0221
Iteration 617: Benign prob = 0.0226
Iteration 618: Benign prob = 0.0229
Iteration 619: Benign prob = 0.0231
Iteration 620: Benign prob = 0.0237
Iteration 621: Benign prob = 0.0242
Iteration 622: Benign prob = 0.0250
Iteration 623: Benign prob = 0.0250
Iteration 624: Benign prob = 0.0252
Iteration 625: Benign prob = 0.0267
Iteration 626: Benign prob = 0.0270
Iteration 628: Benign prob = 0.0271
Iteration 629: Benign prob = 0.0279
Iteration 632: Benign prob = 0.0280
Iteration 633: Benign prob = 0.0294
Iteration 634: Benign prob = 0.0296
Iteration 635: Benign prob = 0.0297
Iteration 636: Benign prob = 0.0298
Iteration 637: Benign prob = 0.0307
Iteration 638: Benign prob = 0.0307
Iteration 640: Benign prob = 0.0320
Iteration 641: Benign prob = 0.0327
Iteration 642: Benign prob = 0.0331
Iteration 643: Benign prob = 0.0337
Iteration 644: Benign prob = 0.0337
Iteration 645: Benign prob = 0.0339
Iteration 646: Benign prob = 0.0346
Iteration 647: Benign prob = 0.0354
Iteration 649: Benign prob = 0.0356
Iteration 650: Benign prob = 0.0361
Iteration 651: Benign prob = 0.0363
Iteration 652: Benign prob = 0.0372
Iteration 653: Benign prob = 0.0380
Iteration 654: Benign prob = 0.0389
Iteration 655: Benign prob = 0.0395
Iteration 656: Benign prob = 0.0398
Iteration 657: Benign prob = 0.0399
Iteration 658: Benign prob = 0.0402
Iteration 659: Benign prob = 0.0403
Iteration 660: Benign prob = 0.0404
Iteration 661: Benign prob = 0.0405
Iteration 662: Benign prob = 0.0424
Iteration 664: Benign prob = 0.0427
Iteration 665: Benign prob = 0.0429
Iteration 666: Benign prob = 0.0447
Iteration 667: Benign prob = 0.0451
Iteration 668: Benign prob = 0.0451
