Requirement already satisfied: torchvision in ./y/envs/thesis_env_310/lib/python3.10/site-packages (0.20.1+cu121)
Requirement already satisfied: tqdm in ./y/envs/thesis_env_310/lib/python3.10/site-packages (4.67.1)
Requirement already satisfied: numpy in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.1.2)
Requirement already satisfied: torch==2.5.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.5.1+cu121)
Requirement already satisfied: pillow!=8.3.*,>=5.3.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (11.0.0)
Requirement already satisfied: filelock in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.13.1)
Requirement already satisfied: typing-extensions>=4.8.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (4.12.2)
Requirement already satisfied: networkx in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.3)
Requirement already satisfied: jinja2 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.4)
Requirement already satisfied: fsspec in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2024.6.1)
Requirement already satisfied: nvidia-cuda-nvrtc-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-runtime-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-cupti-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cudnn-cu12==9.1.0.70 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (9.1.0.70)
Requirement already satisfied: nvidia-cublas-cu12==12.1.3.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.3.1)
Requirement already satisfied: nvidia-cufft-cu12==11.0.2.54 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.0.2.54)
Requirement already satisfied: nvidia-curand-cu12==10.3.2.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (10.3.2.106)
Requirement already satisfied: nvidia-cusolver-cu12==11.4.5.107 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.4.5.107)
Requirement already satisfied: nvidia-cusparse-cu12==12.1.0.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.0.106)
Requirement already satisfied: nvidia-nccl-cu12==2.21.5 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2.21.5)
Requirement already satisfied: nvidia-nvtx-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: triton==3.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.0)
Requirement already satisfied: sympy==1.13.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (1.13.1)
Requirement already satisfied: nvidia-nvjitlink-cu12 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from nvidia-cusolver-cu12==11.4.5.107->torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: mpmath<1.4,>=1.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from sympy==1.13.1->torch==2.5.1->torchvision) (1.3.0)
Requirement already satisfied: MarkupSafe>=2.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from jinja2->torch==2.5.1->torchvision) (2.1.5)
Using device: cuda
Device name: Tesla V100-SXM2-16GB
with 16144.12 MB memory
Using 1 GPUs.


=== [1/10] Creating EA Adversarial Image for /home/users/atodorova/alisa-thesis/malnet-cnn/test/troj/stopsms/0AA9CA4BD4BE2766ED14A1F4965AD98CA89ECB29A3D73199198A927BD22436EF.png ===

--- Original Prediction Results ---
Predicted class: 42 (trojan)

Confidence     : 0.9272

True class     : 41 (troj)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 1476 with confidence 0.3707!

Targeted adversarial image created in 1966 iterations.
Benign first predicted at iteration 1476 with confidence 0.3707.

Benign probability changes (iteration, prob):
Iteration 0: Benign prob = 0.0000
Iteration 208: Benign prob = 0.0000
Iteration 220: Benign prob = 0.0000
Iteration 234: Benign prob = 0.0000
Iteration 244: Benign prob = 0.0001
Iteration 257: Benign prob = 0.0001
Iteration 272: Benign prob = 0.0001
Iteration 286: Benign prob = 0.0001
Iteration 310: Benign prob = 0.0001
Iteration 329: Benign prob = 0.0001
Iteration 348: Benign prob = 0.0001
Iteration 361: Benign prob = 0.0001
Iteration 371: Benign prob = 0.0001
Iteration 379: Benign prob = 0.0002
Iteration 388: Benign prob = 0.0002
Iteration 395: Benign prob = 0.0002
Iteration 396: Benign prob = 0.0002
Iteration 402: Benign prob = 0.0002
Iteration 407: Benign prob = 0.0002
Iteration 411: Benign prob = 0.0002
Iteration 414: Benign prob = 0.0002
Iteration 415: Benign prob = 0.0003
Iteration 418: Benign prob = 0.0003
Iteration 421: Benign prob = 0.0003
Iteration 423: Benign prob = 0.0003
Iteration 426: Benign prob = 0.0003
Iteration 430: Benign prob = 0.0003
Iteration 431: Benign prob = 0.0003
Iteration 432: Benign prob = 0.0004
Iteration 434: Benign prob = 0.0004
Iteration 436: Benign prob = 0.0004
Iteration 440: Benign prob = 0.0004
Iteration 442: Benign prob = 0.0004
Iteration 446: Benign prob = 0.0005
Iteration 447: Benign prob = 0.0005
Iteration 448: Benign prob = 0.0005
Iteration 450: Benign prob = 0.0005
Iteration 454: Benign prob = 0.0006
Iteration 456: Benign prob = 0.0006
Iteration 457: Benign prob = 0.0006
Iteration 459: Benign prob = 0.0007
Iteration 460: Benign prob = 0.0007
Iteration 461: Benign prob = 0.0007
Iteration 462: Benign prob = 0.0007
Iteration 464: Benign prob = 0.0007
Iteration 465: Benign prob = 0.0008
Iteration 467: Benign prob = 0.0008
Iteration 469: Benign prob = 0.0008
Iteration 470: Benign prob = 0.0009
Iteration 471: Benign prob = 0.0009
Iteration 472: Benign prob = 0.0009
Iteration 473: Benign prob = 0.0010
Iteration 475: Benign prob = 0.0010
Iteration 477: Benign prob = 0.0010
Iteration 478: Benign prob = 0.0010
Iteration 479: Benign prob = 0.0011
Iteration 481: Benign prob = 0.0011
Iteration 482: Benign prob = 0.0012
Iteration 483: Benign prob = 0.0012
Iteration 484: Benign prob = 0.0013
Iteration 486: Benign prob = 0.0013
Iteration 487: Benign prob = 0.0014
Iteration 488: Benign prob = 0.0014
Iteration 489: Benign prob = 0.0014
Iteration 491: Benign prob = 0.0015
Iteration 492: Benign prob = 0.0015
Iteration 493: Benign prob = 0.0016
Iteration 495: Benign prob = 0.0016
Iteration 496: Benign prob = 0.0017
Iteration 497: Benign prob = 0.0017
Iteration 499: Benign prob = 0.0019
Iteration 500: Benign prob = 0.0020
Iteration 503: Benign prob = 0.0020
Iteration 504: Benign prob = 0.0021
Iteration 506: Benign prob = 0.0021
Iteration 508: Benign prob = 0.0022
Iteration 509: Benign prob = 0.0022
Iteration 510: Benign prob = 0.0023
Iteration 511: Benign prob = 0.0024
Iteration 512: Benign prob = 0.0024
Iteration 513: Benign prob = 0.0024
Iteration 514: Benign prob = 0.0024
Iteration 515: Benign prob = 0.0026
Iteration 516: Benign prob = 0.0027
Iteration 517: Benign prob = 0.0028
Iteration 518: Benign prob = 0.0028
Iteration 519: Benign prob = 0.0028
Iteration 520: Benign prob = 0.0029
Iteration 521: Benign prob = 0.0030
Iteration 522: Benign prob = 0.0031
Iteration 523: Benign prob = 0.0032
Iteration 526: Benign prob = 0.0034
Iteration 527: Benign prob = 0.0035
Iteration 528: Benign prob = 0.0036
Iteration 529: Benign prob = 0.0037
Iteration 530: Benign prob = 0.0037
Iteration 531: Benign prob = 0.0038
Iteration 532: Benign prob = 0.0040
Iteration 534: Benign prob = 0.0040
Iteration 535: Benign prob = 0.0040
Iteration 536: Benign prob = 0.0041
Iteration 537: Benign prob = 0.0043
Iteration 538: Benign prob = 0.0043
Iteration 539: Benign prob = 0.0045
Iteration 540: Benign prob = 0.0045
Iteration 541: Benign prob = 0.0047
Iteration 542: Benign prob = 0.0048
Iteration 543: Benign prob = 0.0050
Iteration 545: Benign prob = 0.0052
Iteration 546: Benign prob = 0.0054
Iteration 549: Benign prob = 0.0055
Iteration 551: Benign prob = 0.0058
Iteration 552: Benign prob = 0.0060
Iteration 553: Benign prob = 0.0061
Iteration 554: Benign prob = 0.0063
Iteration 555: Benign prob = 0.0064
Iteration 556: Benign prob = 0.0064
Iteration 557: Benign prob = 0.0069
Iteration 558: Benign prob = 0.0070
Iteration 559: Benign prob = 0.0071
Iteration 560: Benign prob = 0.0073
Iteration 561: Benign prob = 0.0074
Iteration 562: Benign prob = 0.0077
Iteration 563: Benign prob = 0.0082
Iteration 564: Benign prob = 0.0082
Iteration 565: Benign prob = 0.0085
Iteration 566: Benign prob = 0.0086
Iteration 567: Benign prob = 0.0093
Iteration 569: Benign prob = 0.0094
Iteration 571: Benign prob = 0.0097
Iteration 573: Benign prob = 0.0099
Iteration 574: Benign prob = 0.0102
Iteration 575: Benign prob = 0.0103
Iteration 576: Benign prob = 0.0105
Iteration 578: Benign prob = 0.0112
Iteration 579: Benign prob = 0.0119
Iteration 580: Benign prob = 0.0122
Iteration 581: Benign prob = 0.0123
Iteration 583: Benign prob = 0.0125
Iteration 584: Benign prob = 0.0127
Iteration 585: Benign prob = 0.0142
Iteration 587: Benign prob = 0.0144
Iteration 588: Benign prob = 0.0146
Iteration 589: Benign prob = 0.0147
Iteration 590: Benign prob = 0.0148
Iteration 591: Benign prob = 0.0149
Iteration 592: Benign prob = 0.0155
Iteration 594: Benign prob = 0.0158
Iteration 595: Benign prob = 0.0159
Iteration 596: Benign prob = 0.0159
Iteration 597: Benign prob = 0.0165
Iteration 598: Benign prob = 0.0170
Iteration 599: Benign prob = 0.0174
Iteration 602: Benign prob = 0.0175
Iteration 603: Benign prob = 0.0182
Iteration 604: Benign prob = 0.0184
Iteration 605: Benign prob = 0.0184
Iteration 606: Benign prob = 0.0188
