Requirement already satisfied: torchvision in ./y/envs/thesis_env_310/lib/python3.10/site-packages (0.20.1+cu121)
Requirement already satisfied: tqdm in ./y/envs/thesis_env_310/lib/python3.10/site-packages (4.67.1)
Requirement already satisfied: numpy in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.1.2)
Requirement already satisfied: torch==2.5.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.5.1+cu121)
Requirement already satisfied: pillow!=8.3.*,>=5.3.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (11.0.0)
Requirement already satisfied: filelock in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.13.1)
Requirement already satisfied: typing-extensions>=4.8.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (4.12.2)
Requirement already satisfied: networkx in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.3)
Requirement already satisfied: jinja2 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.4)
Requirement already satisfied: fsspec in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2024.6.1)
Requirement already satisfied: nvidia-cuda-nvrtc-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-runtime-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-cupti-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cudnn-cu12==9.1.0.70 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (9.1.0.70)
Requirement already satisfied: nvidia-cublas-cu12==12.1.3.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.3.1)
Requirement already satisfied: nvidia-cufft-cu12==11.0.2.54 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.0.2.54)
Requirement already satisfied: nvidia-curand-cu12==10.3.2.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (10.3.2.106)
Requirement already satisfied: nvidia-cusolver-cu12==11.4.5.107 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.4.5.107)
Requirement already satisfied: nvidia-cusparse-cu12==12.1.0.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.0.106)
Requirement already satisfied: nvidia-nccl-cu12==2.21.5 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2.21.5)
Requirement already satisfied: nvidia-nvtx-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: triton==3.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.0)
Requirement already satisfied: sympy==1.13.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (1.13.1)
Requirement already satisfied: nvidia-nvjitlink-cu12 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from nvidia-cusolver-cu12==11.4.5.107->torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: mpmath<1.4,>=1.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from sympy==1.13.1->torch==2.5.1->torchvision) (1.3.0)
Requirement already satisfied: MarkupSafe>=2.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from jinja2->torch==2.5.1->torchvision) (2.1.5)
Using device: cuda
Device name: Tesla V100-SXM2-32GB
with 32494.12 MB memory
Using 1 GPUs.


=== [1/10] Creating EA Adversarial Image for /home/users/atodorova/alisa-thesis/malnet-cnn/test/adload/artemis/0D84D7F915B1FC1C72A60BF2D67E001326B78A0EC1960D92244B33848F01FE0B.png ===

--- Original Prediction Results ---
Predicted class: 42 (trojan)

Confidence     : 0.9204

True class     : 2 (adload)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 1375 with confidence 0.3757!

Targeted adversarial image created in 1833 iterations.
Benign first predicted at iteration 1375 with confidence 0.3757.

Benign probability changes (iteration, prob):
Iteration 0: Benign prob = 0.0000
Iteration 192: Benign prob = 0.0000
Iteration 208: Benign prob = 0.0000
Iteration 220: Benign prob = 0.0000
Iteration 232: Benign prob = 0.0001
Iteration 240: Benign prob = 0.0001
Iteration 248: Benign prob = 0.0001
Iteration 260: Benign prob = 0.0001
Iteration 275: Benign prob = 0.0001
Iteration 295: Benign prob = 0.0001
Iteration 316: Benign prob = 0.0001
Iteration 324: Benign prob = 0.0001
Iteration 335: Benign prob = 0.0001
Iteration 347: Benign prob = 0.0002
Iteration 353: Benign prob = 0.0002
Iteration 357: Benign prob = 0.0002
Iteration 364: Benign prob = 0.0002
Iteration 371: Benign prob = 0.0002
Iteration 376: Benign prob = 0.0002
Iteration 382: Benign prob = 0.0002
Iteration 386: Benign prob = 0.0002
Iteration 390: Benign prob = 0.0003
Iteration 393: Benign prob = 0.0003
Iteration 396: Benign prob = 0.0003
Iteration 399: Benign prob = 0.0003
Iteration 402: Benign prob = 0.0003
Iteration 404: Benign prob = 0.0003
Iteration 407: Benign prob = 0.0004
Iteration 411: Benign prob = 0.0004
Iteration 412: Benign prob = 0.0004
Iteration 414: Benign prob = 0.0004
Iteration 415: Benign prob = 0.0004
Iteration 418: Benign prob = 0.0004
Iteration 419: Benign prob = 0.0005
Iteration 420: Benign prob = 0.0005
Iteration 422: Benign prob = 0.0005
Iteration 426: Benign prob = 0.0005
Iteration 429: Benign prob = 0.0006
Iteration 431: Benign prob = 0.0006
Iteration 432: Benign prob = 0.0006
Iteration 434: Benign prob = 0.0007
Iteration 436: Benign prob = 0.0007
Iteration 440: Benign prob = 0.0007
Iteration 441: Benign prob = 0.0007
Iteration 442: Benign prob = 0.0008
Iteration 443: Benign prob = 0.0008
Iteration 445: Benign prob = 0.0008
Iteration 446: Benign prob = 0.0008
Iteration 447: Benign prob = 0.0008
Iteration 448: Benign prob = 0.0009
Iteration 450: Benign prob = 0.0010
Iteration 453: Benign prob = 0.0010
Iteration 454: Benign prob = 0.0011
Iteration 455: Benign prob = 0.0011
Iteration 456: Benign prob = 0.0011
Iteration 457: Benign prob = 0.0012
Iteration 459: Benign prob = 0.0012
Iteration 461: Benign prob = 0.0013
Iteration 462: Benign prob = 0.0013
Iteration 465: Benign prob = 0.0014
Iteration 467: Benign prob = 0.0014
Iteration 469: Benign prob = 0.0014
Iteration 470: Benign prob = 0.0015
Iteration 471: Benign prob = 0.0015
Iteration 472: Benign prob = 0.0016
Iteration 473: Benign prob = 0.0017
Iteration 474: Benign prob = 0.0017
Iteration 475: Benign prob = 0.0017
Iteration 476: Benign prob = 0.0018
Iteration 477: Benign prob = 0.0018
Iteration 478: Benign prob = 0.0018
Iteration 480: Benign prob = 0.0019
Iteration 481: Benign prob = 0.0019
Iteration 482: Benign prob = 0.0020
Iteration 483: Benign prob = 0.0021
Iteration 484: Benign prob = 0.0022
Iteration 487: Benign prob = 0.0023
Iteration 489: Benign prob = 0.0024
Iteration 492: Benign prob = 0.0024
Iteration 493: Benign prob = 0.0025
Iteration 494: Benign prob = 0.0026
Iteration 495: Benign prob = 0.0027
Iteration 498: Benign prob = 0.0027
Iteration 499: Benign prob = 0.0028
Iteration 500: Benign prob = 0.0030
Iteration 501: Benign prob = 0.0030
Iteration 503: Benign prob = 0.0031
Iteration 504: Benign prob = 0.0031
Iteration 505: Benign prob = 0.0031
Iteration 506: Benign prob = 0.0032
Iteration 508: Benign prob = 0.0033
Iteration 509: Benign prob = 0.0033
Iteration 510: Benign prob = 0.0037
Iteration 511: Benign prob = 0.0038
Iteration 512: Benign prob = 0.0038
Iteration 513: Benign prob = 0.0038
Iteration 514: Benign prob = 0.0039
Iteration 515: Benign prob = 0.0040
Iteration 516: Benign prob = 0.0042
Iteration 517: Benign prob = 0.0042
Iteration 518: Benign prob = 0.0042
Iteration 519: Benign prob = 0.0043
Iteration 520: Benign prob = 0.0044
Iteration 521: Benign prob = 0.0046
Iteration 523: Benign prob = 0.0047
Iteration 525: Benign prob = 0.0048
Iteration 526: Benign prob = 0.0053
Iteration 527: Benign prob = 0.0054
Iteration 528: Benign prob = 0.0054
Iteration 529: Benign prob = 0.0056
Iteration 530: Benign prob = 0.0057
Iteration 531: Benign prob = 0.0059
Iteration 532: Benign prob = 0.0060
Iteration 534: Benign prob = 0.0062
Iteration 535: Benign prob = 0.0063
Iteration 536: Benign prob = 0.0064
Iteration 537: Benign prob = 0.0066
Iteration 538: Benign prob = 0.0067
Iteration 539: Benign prob = 0.0069
Iteration 540: Benign prob = 0.0070
Iteration 541: Benign prob = 0.0074
Iteration 542: Benign prob = 0.0074
Iteration 543: Benign prob = 0.0075
Iteration 545: Benign prob = 0.0080
Iteration 546: Benign prob = 0.0080
Iteration 547: Benign prob = 0.0082
Iteration 549: Benign prob = 0.0083
Iteration 550: Benign prob = 0.0083
Iteration 551: Benign prob = 0.0087
Iteration 552: Benign prob = 0.0089
Iteration 553: Benign prob = 0.0090
Iteration 554: Benign prob = 0.0091
Iteration 555: Benign prob = 0.0093
Iteration 556: Benign prob = 0.0093
Iteration 557: Benign prob = 0.0101
Iteration 558: Benign prob = 0.0102
Iteration 559: Benign prob = 0.0104
Iteration 560: Benign prob = 0.0105
Iteration 562: Benign prob = 0.0111
Iteration 563: Benign prob = 0.0117
Iteration 564: Benign prob = 0.0118
Iteration 565: Benign prob = 0.0120
Iteration 566: Benign prob = 0.0123
Iteration 567: Benign prob = 0.0127
Iteration 569: Benign prob = 0.0133
Iteration 571: Benign prob = 0.0135
Iteration 573: Benign prob = 0.0138
Iteration 574: Benign prob = 0.0138
Iteration 575: Benign prob = 0.0140
Iteration 576: Benign prob = 0.0142
Iteration 577: Benign prob = 0.0143
Iteration 578: Benign prob = 0.0156
Iteration 579: Benign prob = 0.0158
Iteration 580: Benign prob = 0.0165
Iteration 582: Benign prob = 0.0167
Iteration 583: Benign prob = 0.0168
Iteration 584: Benign prob = 0.0170
Iteration 585: Benign prob = 0.0181
Iteration 587: Benign prob = 0.0183
Iteration 588: Benign prob = 0.0186
Iteration 589: Benign prob = 0.0191
Iteration 590: Benign prob = 0.0192
Iteration 591: Benign prob = 0.0193
Iteration 592: Benign prob = 0.0197
Iteration 593: Benign prob = 0.0198
Iteration 594: Benign prob = 0.0200
Iteration 595: Benign prob = 0.0205
Iteration 597: Benign prob = 0.0213
Iteration 598: Benign prob = 0.0219
Iteration 599: Benign prob = 0.0221
Iteration 600: Benign prob = 0.0223
Iteration 601: Benign prob = 0.0224
Iteration 603: Benign prob = 0.0243
Iteration 606: Benign prob = 0.0244
Iteration 607: Benign prob = 0.0247
Iteration 608: Benign prob = 0.0249
Iteration 610: Benign prob = 0.0252
Iteration 611: Benign prob = 0.0258
Iteration 613: Benign prob = 0.0261
Iteration 615: Benign prob = 0.0264
Iteration 616: Benign prob = 0.0265
Iteration 617: Benign prob = 0.0266
Iteration 618: Benign prob = 0.0269
Iteration 619: Benign prob = 0.0270
Iteration 620: Benign prob = 0.0280
Iteration 621: Benign prob = 0.0282
Iteration 622: Benign prob = 0.0287
Iteration 623: Benign prob = 0.0288
Iteration 624: Benign prob = 0.0295
Iteration 625: Benign prob = 0.0305
Iteration 626: Benign prob = 0.0311
Iteration 628: Benign prob = 0.0315
Iteration 629: Benign prob = 0.0327
Iteration 632: Benign prob = 0.0331
Iteration 633: Benign prob = 0.0343
Iteration 634: Benign prob = 0.0347
Iteration 635: Benign prob = 0.0354
Iteration 636: Benign prob = 0.0354
Iteration 637: Benign prob = 0.0357
Iteration 638: Benign prob = 0.0367
Iteration 639: Benign prob = 0.0368
Iteration 640: Benign prob = 0.0382
Iteration 642: Benign prob = 0.0389
Iteration 643: Benign prob = 0.0394
Iteration 645: Benign prob = 0.0400
Iteration 646: Benign prob = 0.0402
Iteration 647: Benign prob = 0.0403
Iteration 648: Benign prob = 0.0408
Iteration 649: Benign prob = 0.0421
Iteration 650: Benign prob = 0.0427
Iteration 651: Benign prob = 0.0435
Iteration 653: Benign prob = 0.0453
Iteration 654: Benign prob = 0.0453
Iteration 655: Benign prob = 0.0455
Iteration 656: Benign prob = 0.0467
Iteration 657: Benign prob = 0.0468
Iteration 658: Benign prob = 0.0470
Iteration 659: Benign prob = 0.0477
