Requirement already satisfied: torchvision in ./y/envs/thesis_env_310/lib/python3.10/site-packages (0.20.1+cu121)
Requirement already satisfied: tqdm in ./y/envs/thesis_env_310/lib/python3.10/site-packages (4.67.1)
Requirement already satisfied: numpy in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.1.2)
Requirement already satisfied: torch==2.5.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.5.1+cu121)
Requirement already satisfied: pillow!=8.3.*,>=5.3.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (11.0.0)
Requirement already satisfied: filelock in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.13.1)
Requirement already satisfied: typing-extensions>=4.8.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (4.12.2)
Requirement already satisfied: networkx in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.3)
Requirement already satisfied: jinja2 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.4)
Requirement already satisfied: fsspec in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2024.6.1)
Requirement already satisfied: nvidia-cuda-nvrtc-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-runtime-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-cupti-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cudnn-cu12==9.1.0.70 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (9.1.0.70)
Requirement already satisfied: nvidia-cublas-cu12==12.1.3.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.3.1)
Requirement already satisfied: nvidia-cufft-cu12==11.0.2.54 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.0.2.54)
Requirement already satisfied: nvidia-curand-cu12==10.3.2.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (10.3.2.106)
Requirement already satisfied: nvidia-cusolver-cu12==11.4.5.107 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.4.5.107)
Requirement already satisfied: nvidia-cusparse-cu12==12.1.0.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.0.106)
Requirement already satisfied: nvidia-nccl-cu12==2.21.5 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2.21.5)
Requirement already satisfied: nvidia-nvtx-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: triton==3.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.0)
Requirement already satisfied: sympy==1.13.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (1.13.1)
Requirement already satisfied: nvidia-nvjitlink-cu12 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from nvidia-cusolver-cu12==11.4.5.107->torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: mpmath<1.4,>=1.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from sympy==1.13.1->torch==2.5.1->torchvision) (1.3.0)
Requirement already satisfied: MarkupSafe>=2.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from jinja2->torch==2.5.1->torchvision) (2.1.5)
Using device: cuda
Device name: Tesla V100-SXM2-32GB
with 32494.12 MB memory
Using 1 GPUs.


=== [1/10] Creating EA Adversarial Image for /home/users/atodorova/alisa-thesis/malnet-cnn/test/downloader/genpua/0B9DF6D33939EE950E7EC32862592AE2E7BEE3A9308A3AAE5FE4C5A4D5C05BCA.png ===

--- Original Prediction Results ---
Predicted class: 42 (trojan)

Confidence     : 0.7598

True class     : 16 (downloader)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 1487 with confidence 0.3889!

Targeted adversarial image created in 1812 iterations.
Benign first predicted at iteration 1487 with confidence 0.3889.

Benign probability changes (iteration, prob):
Iteration 0: Benign prob = 0.0000
Iteration 208: Benign prob = 0.0000
Iteration 218: Benign prob = 0.0000
Iteration 232: Benign prob = 0.0001
Iteration 238: Benign prob = 0.0001
Iteration 244: Benign prob = 0.0001
Iteration 251: Benign prob = 0.0001
Iteration 257: Benign prob = 0.0001
Iteration 266: Benign prob = 0.0001
Iteration 275: Benign prob = 0.0001
Iteration 286: Benign prob = 0.0001
Iteration 296: Benign prob = 0.0002
Iteration 308: Benign prob = 0.0002
Iteration 319: Benign prob = 0.0002
Iteration 329: Benign prob = 0.0002
Iteration 335: Benign prob = 0.0002
Iteration 343: Benign prob = 0.0002
Iteration 348: Benign prob = 0.0002
Iteration 351: Benign prob = 0.0002
Iteration 357: Benign prob = 0.0003
Iteration 361: Benign prob = 0.0003
Iteration 365: Benign prob = 0.0003
Iteration 368: Benign prob = 0.0003
Iteration 375: Benign prob = 0.0003
Iteration 378: Benign prob = 0.0004
Iteration 379: Benign prob = 0.0004
Iteration 383: Benign prob = 0.0004
Iteration 386: Benign prob = 0.0004
Iteration 388: Benign prob = 0.0004
Iteration 391: Benign prob = 0.0004
Iteration 392: Benign prob = 0.0004
Iteration 395: Benign prob = 0.0004
Iteration 398: Benign prob = 0.0005
Iteration 399: Benign prob = 0.0005
Iteration 403: Benign prob = 0.0005
Iteration 406: Benign prob = 0.0005
Iteration 407: Benign prob = 0.0006
Iteration 411: Benign prob = 0.0006
Iteration 412: Benign prob = 0.0006
Iteration 414: Benign prob = 0.0006
Iteration 415: Benign prob = 0.0006
Iteration 417: Benign prob = 0.0007
Iteration 419: Benign prob = 0.0007
Iteration 420: Benign prob = 0.0007
Iteration 421: Benign prob = 0.0007
Iteration 422: Benign prob = 0.0008
Iteration 423: Benign prob = 0.0008
Iteration 426: Benign prob = 0.0009
Iteration 429: Benign prob = 0.0009
Iteration 431: Benign prob = 0.0009
Iteration 432: Benign prob = 0.0009
Iteration 433: Benign prob = 0.0010
Iteration 434: Benign prob = 0.0010
Iteration 436: Benign prob = 0.0011
Iteration 438: Benign prob = 0.0011
Iteration 439: Benign prob = 0.0011
Iteration 440: Benign prob = 0.0011
Iteration 442: Benign prob = 0.0011
Iteration 443: Benign prob = 0.0012
Iteration 444: Benign prob = 0.0012
Iteration 446: Benign prob = 0.0013
Iteration 447: Benign prob = 0.0014
Iteration 448: Benign prob = 0.0015
Iteration 449: Benign prob = 0.0015
Iteration 450: Benign prob = 0.0015
Iteration 452: Benign prob = 0.0016
Iteration 453: Benign prob = 0.0016
Iteration 454: Benign prob = 0.0017
Iteration 455: Benign prob = 0.0017
Iteration 456: Benign prob = 0.0018
Iteration 457: Benign prob = 0.0018
Iteration 458: Benign prob = 0.0019
Iteration 459: Benign prob = 0.0019
Iteration 460: Benign prob = 0.0020
Iteration 462: Benign prob = 0.0021
Iteration 464: Benign prob = 0.0021
Iteration 465: Benign prob = 0.0022
Iteration 467: Benign prob = 0.0022
Iteration 468: Benign prob = 0.0022
Iteration 469: Benign prob = 0.0023
Iteration 470: Benign prob = 0.0024
Iteration 471: Benign prob = 0.0024
Iteration 472: Benign prob = 0.0025
Iteration 473: Benign prob = 0.0026
Iteration 475: Benign prob = 0.0027
Iteration 477: Benign prob = 0.0028
Iteration 480: Benign prob = 0.0029
Iteration 481: Benign prob = 0.0031
Iteration 482: Benign prob = 0.0031
Iteration 483: Benign prob = 0.0035
Iteration 485: Benign prob = 0.0035
Iteration 486: Benign prob = 0.0036
Iteration 487: Benign prob = 0.0038
Iteration 489: Benign prob = 0.0039
Iteration 490: Benign prob = 0.0039
Iteration 491: Benign prob = 0.0039
Iteration 492: Benign prob = 0.0041
Iteration 493: Benign prob = 0.0041
Iteration 494: Benign prob = 0.0044
Iteration 495: Benign prob = 0.0045
Iteration 497: Benign prob = 0.0046
Iteration 498: Benign prob = 0.0046
Iteration 499: Benign prob = 0.0050
Iteration 500: Benign prob = 0.0051
Iteration 501: Benign prob = 0.0051
Iteration 502: Benign prob = 0.0052
Iteration 504: Benign prob = 0.0055
Iteration 505: Benign prob = 0.0055
Iteration 506: Benign prob = 0.0055
Iteration 508: Benign prob = 0.0057
Iteration 509: Benign prob = 0.0058
Iteration 510: Benign prob = 0.0059
Iteration 511: Benign prob = 0.0060
Iteration 512: Benign prob = 0.0061
Iteration 513: Benign prob = 0.0062
Iteration 514: Benign prob = 0.0062
Iteration 515: Benign prob = 0.0065
Iteration 516: Benign prob = 0.0069
Iteration 518: Benign prob = 0.0070
Iteration 519: Benign prob = 0.0071
Iteration 520: Benign prob = 0.0074
Iteration 521: Benign prob = 0.0077
Iteration 522: Benign prob = 0.0081
Iteration 524: Benign prob = 0.0082
Iteration 525: Benign prob = 0.0082
Iteration 526: Benign prob = 0.0087
Iteration 527: Benign prob = 0.0090
Iteration 528: Benign prob = 0.0091
Iteration 529: Benign prob = 0.0093
Iteration 531: Benign prob = 0.0098
Iteration 534: Benign prob = 0.0101
Iteration 535: Benign prob = 0.0103
Iteration 536: Benign prob = 0.0104
Iteration 537: Benign prob = 0.0108
Iteration 538: Benign prob = 0.0108
Iteration 539: Benign prob = 0.0113
Iteration 540: Benign prob = 0.0115
Iteration 541: Benign prob = 0.0117
Iteration 542: Benign prob = 0.0120
Iteration 543: Benign prob = 0.0124
Iteration 544: Benign prob = 0.0125
Iteration 545: Benign prob = 0.0132
Iteration 546: Benign prob = 0.0135
Iteration 548: Benign prob = 0.0137
Iteration 549: Benign prob = 0.0138
Iteration 550: Benign prob = 0.0139
Iteration 551: Benign prob = 0.0139
Iteration 552: Benign prob = 0.0145
Iteration 553: Benign prob = 0.0149
Iteration 554: Benign prob = 0.0149
Iteration 555: Benign prob = 0.0150
Iteration 556: Benign prob = 0.0152
Iteration 557: Benign prob = 0.0163
Iteration 558: Benign prob = 0.0170
Iteration 560: Benign prob = 0.0175
Iteration 562: Benign prob = 0.0181
Iteration 563: Benign prob = 0.0197
