Requirement already satisfied: torchvision in ./y/envs/thesis_env_310/lib/python3.10/site-packages (0.20.1+cu121)
Requirement already satisfied: tqdm in ./y/envs/thesis_env_310/lib/python3.10/site-packages (4.67.1)
Requirement already satisfied: numpy in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.1.2)
Requirement already satisfied: torch==2.5.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.5.1+cu121)
Requirement already satisfied: pillow!=8.3.*,>=5.3.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (11.0.0)
Requirement already satisfied: filelock in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.13.1)
Requirement already satisfied: typing-extensions>=4.8.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (4.12.2)
Requirement already satisfied: networkx in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.3)
Requirement already satisfied: jinja2 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.4)
Requirement already satisfied: fsspec in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2024.6.1)
Requirement already satisfied: nvidia-cuda-nvrtc-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-runtime-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-cupti-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cudnn-cu12==9.1.0.70 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (9.1.0.70)
Requirement already satisfied: nvidia-cublas-cu12==12.1.3.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.3.1)
Requirement already satisfied: nvidia-cufft-cu12==11.0.2.54 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.0.2.54)
Requirement already satisfied: nvidia-curand-cu12==10.3.2.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (10.3.2.106)
Requirement already satisfied: nvidia-cusolver-cu12==11.4.5.107 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.4.5.107)
Requirement already satisfied: nvidia-cusparse-cu12==12.1.0.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.0.106)
Requirement already satisfied: nvidia-nccl-cu12==2.21.5 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2.21.5)
Requirement already satisfied: nvidia-nvtx-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: triton==3.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.0)
Requirement already satisfied: sympy==1.13.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (1.13.1)
Requirement already satisfied: nvidia-nvjitlink-cu12 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from nvidia-cusolver-cu12==11.4.5.107->torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: mpmath<1.4,>=1.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from sympy==1.13.1->torch==2.5.1->torchvision) (1.3.0)
Requirement already satisfied: MarkupSafe>=2.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from jinja2->torch==2.5.1->torchvision) (2.1.5)
Using device: cuda
Device name: Tesla V100-SXM2-16GB
with 16144.12 MB memory
Using 1 GPUs.


=== [1/10] Creating EA Adversarial Image for /home/users/atodorova/alisa-thesis/malnet-cnn/test/fakeapp/genbl/6BAE2F4DBB8788FF19CD74E06CF6F540258C9778FE5EE125E4DB255B64D2F5D2.png ===

--- Original Prediction Results ---
Predicted class: 42 (trojan)

Confidence     : 0.9582

True class     : 20 (fakeapp)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 1276 with confidence 0.3773!

Targeted adversarial image created in 1710 iterations.
Benign first predicted at iteration 1276 with confidence 0.3773.

Benign probability changes (iteration, prob):
Iteration 0: Benign prob = 0.0000
Iteration 201: Benign prob = 0.0000
Iteration 213: Benign prob = 0.0000
Iteration 227: Benign prob = 0.0000
Iteration 239: Benign prob = 0.0001
Iteration 251: Benign prob = 0.0001
Iteration 269: Benign prob = 0.0001
Iteration 287: Benign prob = 0.0001
Iteration 304: Benign prob = 0.0001
Iteration 314: Benign prob = 0.0001
Iteration 328: Benign prob = 0.0001
Iteration 335: Benign prob = 0.0001
Iteration 346: Benign prob = 0.0001
Iteration 354: Benign prob = 0.0002
Iteration 359: Benign prob = 0.0002
Iteration 363: Benign prob = 0.0002
Iteration 367: Benign prob = 0.0002
Iteration 372: Benign prob = 0.0002
Iteration 375: Benign prob = 0.0002
Iteration 380: Benign prob = 0.0002
Iteration 384: Benign prob = 0.0002
Iteration 388: Benign prob = 0.0003
Iteration 391: Benign prob = 0.0003
Iteration 393: Benign prob = 0.0003
Iteration 396: Benign prob = 0.0003
Iteration 398: Benign prob = 0.0003
Iteration 402: Benign prob = 0.0003
Iteration 403: Benign prob = 0.0003
Iteration 407: Benign prob = 0.0004
Iteration 411: Benign prob = 0.0004
Iteration 412: Benign prob = 0.0004
Iteration 414: Benign prob = 0.0004
Iteration 415: Benign prob = 0.0005
Iteration 417: Benign prob = 0.0005
Iteration 418: Benign prob = 0.0005
Iteration 420: Benign prob = 0.0005
Iteration 422: Benign prob = 0.0005
Iteration 424: Benign prob = 0.0006
Iteration 426: Benign prob = 0.0006
Iteration 428: Benign prob = 0.0006
Iteration 429: Benign prob = 0.0006
Iteration 431: Benign prob = 0.0007
Iteration 432: Benign prob = 0.0007
Iteration 434: Benign prob = 0.0007
Iteration 435: Benign prob = 0.0008
Iteration 436: Benign prob = 0.0008
Iteration 437: Benign prob = 0.0008
Iteration 439: Benign prob = 0.0009
Iteration 440: Benign prob = 0.0009
Iteration 442: Benign prob = 0.0009
Iteration 444: Benign prob = 0.0009
Iteration 446: Benign prob = 0.0011
Iteration 447: Benign prob = 0.0011
Iteration 448: Benign prob = 0.0012
Iteration 449: Benign prob = 0.0013
Iteration 452: Benign prob = 0.0013
Iteration 453: Benign prob = 0.0014
Iteration 454: Benign prob = 0.0015
Iteration 455: Benign prob = 0.0015
Iteration 456: Benign prob = 0.0016
Iteration 458: Benign prob = 0.0016
Iteration 460: Benign prob = 0.0017
Iteration 461: Benign prob = 0.0017
Iteration 462: Benign prob = 0.0018
Iteration 463: Benign prob = 0.0018
Iteration 464: Benign prob = 0.0018
Iteration 465: Benign prob = 0.0019
Iteration 467: Benign prob = 0.0019
Iteration 468: Benign prob = 0.0019
Iteration 469: Benign prob = 0.0020
Iteration 470: Benign prob = 0.0020
Iteration 471: Benign prob = 0.0020
Iteration 472: Benign prob = 0.0022
Iteration 473: Benign prob = 0.0023
Iteration 475: Benign prob = 0.0023
Iteration 476: Benign prob = 0.0024
Iteration 477: Benign prob = 0.0024
Iteration 478: Benign prob = 0.0025
Iteration 479: Benign prob = 0.0025
Iteration 480: Benign prob = 0.0025
Iteration 481: Benign prob = 0.0026
Iteration 482: Benign prob = 0.0027
Iteration 483: Benign prob = 0.0028
Iteration 484: Benign prob = 0.0029
Iteration 486: Benign prob = 0.0030
Iteration 487: Benign prob = 0.0030
Iteration 488: Benign prob = 0.0031
Iteration 489: Benign prob = 0.0031
Iteration 490: Benign prob = 0.0032
Iteration 492: Benign prob = 0.0033
Iteration 493: Benign prob = 0.0034
Iteration 494: Benign prob = 0.0036
Iteration 495: Benign prob = 0.0037
Iteration 496: Benign prob = 0.0037
Iteration 497: Benign prob = 0.0038
Iteration 498: Benign prob = 0.0039
Iteration 499: Benign prob = 0.0041
Iteration 500: Benign prob = 0.0043
Iteration 501: Benign prob = 0.0044
Iteration 502: Benign prob = 0.0044
Iteration 503: Benign prob = 0.0045
Iteration 504: Benign prob = 0.0046
Iteration 505: Benign prob = 0.0047
Iteration 506: Benign prob = 0.0047
Iteration 508: Benign prob = 0.0049
Iteration 509: Benign prob = 0.0049
Iteration 510: Benign prob = 0.0051
Iteration 511: Benign prob = 0.0053
Iteration 512: Benign prob = 0.0053
Iteration 513: Benign prob = 0.0054
Iteration 514: Benign prob = 0.0055
Iteration 515: Benign prob = 0.0058
Iteration 516: Benign prob = 0.0059
Iteration 517: Benign prob = 0.0061
Iteration 518: Benign prob = 0.0062
Iteration 519: Benign prob = 0.0063
Iteration 520: Benign prob = 0.0066
Iteration 521: Benign prob = 0.0067
Iteration 522: Benign prob = 0.0071
Iteration 523: Benign prob = 0.0073
Iteration 525: Benign prob = 0.0073
