Requirement already satisfied: torchvision in ./y/envs/thesis_env_310/lib/python3.10/site-packages (0.20.1+cu121)
Requirement already satisfied: tqdm in ./y/envs/thesis_env_310/lib/python3.10/site-packages (4.67.1)
Requirement already satisfied: numpy in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.1.2)
Requirement already satisfied: torch==2.5.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.5.1+cu121)
Requirement already satisfied: pillow!=8.3.*,>=5.3.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (11.0.0)
Requirement already satisfied: filelock in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.13.1)
Requirement already satisfied: typing-extensions>=4.8.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (4.12.2)
Requirement already satisfied: networkx in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.3)
Requirement already satisfied: jinja2 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.4)
Requirement already satisfied: fsspec in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2024.6.1)
Requirement already satisfied: nvidia-cuda-nvrtc-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-runtime-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-cupti-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cudnn-cu12==9.1.0.70 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (9.1.0.70)
Requirement already satisfied: nvidia-cublas-cu12==12.1.3.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.3.1)
Requirement already satisfied: nvidia-cufft-cu12==11.0.2.54 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.0.2.54)
Requirement already satisfied: nvidia-curand-cu12==10.3.2.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (10.3.2.106)
Requirement already satisfied: nvidia-cusolver-cu12==11.4.5.107 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.4.5.107)
Requirement already satisfied: nvidia-cusparse-cu12==12.1.0.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.0.106)
Requirement already satisfied: nvidia-nccl-cu12==2.21.5 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2.21.5)
Requirement already satisfied: nvidia-nvtx-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: triton==3.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.0)
Requirement already satisfied: sympy==1.13.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (1.13.1)
Requirement already satisfied: nvidia-nvjitlink-cu12 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from nvidia-cusolver-cu12==11.4.5.107->torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: mpmath<1.4,>=1.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from sympy==1.13.1->torch==2.5.1->torchvision) (1.3.0)
Requirement already satisfied: MarkupSafe>=2.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from jinja2->torch==2.5.1->torchvision) (2.1.5)
Using device: cuda
Device name: Tesla V100-SXM2-16GB
with 16144.12 MB memory
Using 1 GPUs.


=== [1/10] Creating EA Adversarial Image for /home/users/atodorova/alisa-thesis/malnet-cnn/test/hacktool/inmobi/16C8A40210A05F50C1542EE56D9C640E96EF75666A3A5B3E49C69F9F5FE6A002.png ===

--- Original Prediction Results ---
Predicted class: 42 (trojan)

Confidence     : 0.8956

True class     : 24 (hacktool)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 1224 with confidence 0.3697!

Targeted adversarial image created in 1610 iterations.
Benign first predicted at iteration 1224 with confidence 0.3697.

Benign probability changes (iteration, prob):
Iteration 0: Benign prob = 0.0000
Iteration 191: Benign prob = 0.0000
Iteration 207: Benign prob = 0.0000
Iteration 216: Benign prob = 0.0000
Iteration 227: Benign prob = 0.0000
Iteration 236: Benign prob = 0.0001
Iteration 244: Benign prob = 0.0001
Iteration 255: Benign prob = 0.0001
Iteration 266: Benign prob = 0.0001
Iteration 275: Benign prob = 0.0001
Iteration 292: Benign prob = 0.0001
Iteration 306: Benign prob = 0.0001
Iteration 324: Benign prob = 0.0001
Iteration 338: Benign prob = 0.0001
Iteration 351: Benign prob = 0.0002
Iteration 364: Benign prob = 0.0002
Iteration 375: Benign prob = 0.0002
Iteration 382: Benign prob = 0.0002
Iteration 391: Benign prob = 0.0002
Iteration 395: Benign prob = 0.0002
Iteration 398: Benign prob = 0.0002
Iteration 403: Benign prob = 0.0002
Iteration 407: Benign prob = 0.0003
Iteration 409: Benign prob = 0.0003
Iteration 411: Benign prob = 0.0003
Iteration 412: Benign prob = 0.0003
Iteration 415: Benign prob = 0.0003
Iteration 418: Benign prob = 0.0003
Iteration 419: Benign prob = 0.0003
Iteration 421: Benign prob = 0.0004
Iteration 422: Benign prob = 0.0004
Iteration 426: Benign prob = 0.0004
Iteration 430: Benign prob = 0.0004
Iteration 432: Benign prob = 0.0004
Iteration 434: Benign prob = 0.0004
Iteration 436: Benign prob = 0.0004
Iteration 439: Benign prob = 0.0005
Iteration 440: Benign prob = 0.0005
Iteration 442: Benign prob = 0.0005
Iteration 446: Benign prob = 0.0006
Iteration 447: Benign prob = 0.0006
Iteration 448: Benign prob = 0.0006
Iteration 450: Benign prob = 0.0007
Iteration 453: Benign prob = 0.0007
Iteration 454: Benign prob = 0.0007
Iteration 455: Benign prob = 0.0007
Iteration 456: Benign prob = 0.0008
Iteration 457: Benign prob = 0.0008
Iteration 459: Benign prob = 0.0008
Iteration 461: Benign prob = 0.0008
Iteration 462: Benign prob = 0.0009
Iteration 464: Benign prob = 0.0009
Iteration 467: Benign prob = 0.0009
Iteration 469: Benign prob = 0.0009
Iteration 470: Benign prob = 0.0010
Iteration 472: Benign prob = 0.0010
Iteration 473: Benign prob = 0.0011
Iteration 475: Benign prob = 0.0011
Iteration 476: Benign prob = 0.0011
Iteration 477: Benign prob = 0.0012
Iteration 478: Benign prob = 0.0012
Iteration 480: Benign prob = 0.0012
Iteration 481: Benign prob = 0.0013
Iteration 483: Benign prob = 0.0014
Iteration 484: Benign prob = 0.0015
Iteration 487: Benign prob = 0.0015
Iteration 489: Benign prob = 0.0015
Iteration 490: Benign prob = 0.0016
Iteration 492: Benign prob = 0.0016
Iteration 493: Benign prob = 0.0017
Iteration 494: Benign prob = 0.0018
Iteration 495: Benign prob = 0.0018
Iteration 497: Benign prob = 0.0019
Iteration 499: Benign prob = 0.0020
Iteration 500: Benign prob = 0.0021
Iteration 503: Benign prob = 0.0021
Iteration 504: Benign prob = 0.0022
Iteration 506: Benign prob = 0.0022
Iteration 508: Benign prob = 0.0023
Iteration 509: Benign prob = 0.0024
Iteration 510: Benign prob = 0.0026
Iteration 511: Benign prob = 0.0027
Iteration 512: Benign prob = 0.0027
Iteration 514: Benign prob = 0.0028
Iteration 515: Benign prob = 0.0029
Iteration 516: Benign prob = 0.0031
Iteration 517: Benign prob = 0.0032
Iteration 519: Benign prob = 0.0032
Iteration 520: Benign prob = 0.0034
Iteration 521: Benign prob = 0.0034
Iteration 522: Benign prob = 0.0035
Iteration 523: Benign prob = 0.0036
Iteration 525: Benign prob = 0.0036
Iteration 526: Benign prob = 0.0038
Iteration 527: Benign prob = 0.0039
Iteration 528: Benign prob = 0.0040
Iteration 529: Benign prob = 0.0041
Iteration 530: Benign prob = 0.0041
Iteration 531: Benign prob = 0.0045
Iteration 532: Benign prob = 0.0045
Iteration 534: Benign prob = 0.0048
Iteration 535: Benign prob = 0.0049
Iteration 536: Benign prob = 0.0049
Iteration 537: Benign prob = 0.0052
Iteration 538: Benign prob = 0.0053
Iteration 539: Benign prob = 0.0054
Iteration 540: Benign prob = 0.0055
Iteration 541: Benign prob = 0.0056
Iteration 542: Benign prob = 0.0056
Iteration 543: Benign prob = 0.0062
Iteration 544: Benign prob = 0.0062
Iteration 545: Benign prob = 0.0065
Iteration 546: Benign prob = 0.0066
Iteration 547: Benign prob = 0.0066
Iteration 548: Benign prob = 0.0067
Iteration 549: Benign prob = 0.0067
Iteration 551: Benign prob = 0.0071
Iteration 552: Benign prob = 0.0074
Iteration 553: Benign prob = 0.0075
Iteration 554: Benign prob = 0.0077
Iteration 555: Benign prob = 0.0077
Iteration 556: Benign prob = 0.0079
Iteration 557: Benign prob = 0.0083
Iteration 558: Benign prob = 0.0085
Iteration 559: Benign prob = 0.0086
Iteration 560: Benign prob = 0.0088
Iteration 562: Benign prob = 0.0093
Iteration 563: Benign prob = 0.0102
Iteration 564: Benign prob = 0.0105
Iteration 565: Benign prob = 0.0107
Iteration 566: Benign prob = 0.0109
Iteration 567: Benign prob = 0.0113
Iteration 568: Benign prob = 0.0115
Iteration 569: Benign prob = 0.0118
Iteration 571: Benign prob = 0.0120
Iteration 573: Benign prob = 0.0126
Iteration 574: Benign prob = 0.0128
Iteration 575: Benign prob = 0.0128
Iteration 576: Benign prob = 0.0131
Iteration 577: Benign prob = 0.0132
Iteration 578: Benign prob = 0.0142
Iteration 579: Benign prob = 0.0151
Iteration 580: Benign prob = 0.0156
Iteration 583: Benign prob = 0.0159
Iteration 584: Benign prob = 0.0160
Iteration 585: Benign prob = 0.0173
Iteration 587: Benign prob = 0.0175
Iteration 588: Benign prob = 0.0178
Iteration 589: Benign prob = 0.0182
Iteration 591: Benign prob = 0.0183
Iteration 592: Benign prob = 0.0187
Iteration 594: Benign prob = 0.0187
Iteration 595: Benign prob = 0.0194
Iteration 597: Benign prob = 0.0201
Iteration 598: Benign prob = 0.0202
Iteration 599: Benign prob = 0.0205
Iteration 600: Benign prob = 0.0206
Iteration 601: Benign prob = 0.0212
Iteration 602: Benign prob = 0.0213
Iteration 603: Benign prob = 0.0225
Iteration 606: Benign prob = 0.0228
Iteration 607: Benign prob = 0.0236
Iteration 608: Benign prob = 0.0238
Iteration 609: Benign prob = 0.0243
Iteration 611: Benign prob = 0.0251
Iteration 612: Benign prob = 0.0251
Iteration 613: Benign prob = 0.0255
Iteration 615: Benign prob = 0.0258
Iteration 616: Benign prob = 0.0258
Iteration 617: Benign prob = 0.0263
Iteration 618: Benign prob = 0.0267
Iteration 619: Benign prob = 0.0268
Iteration 620: Benign prob = 0.0274
Iteration 621: Benign prob = 0.0283
Iteration 622: Benign prob = 0.0303
Iteration 623: Benign prob = 0.0305
Iteration 624: Benign prob = 0.0310
Iteration 625: Benign prob = 0.0323
Iteration 626: Benign prob = 0.0325
Iteration 627: Benign prob = 0.0327
Iteration 628: Benign prob = 0.0331
