Requirement already satisfied: torchvision in ./y/envs/thesis_env_310/lib/python3.10/site-packages (0.20.1+cu121)
Requirement already satisfied: tqdm in ./y/envs/thesis_env_310/lib/python3.10/site-packages (4.67.1)
Requirement already satisfied: numpy in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.1.2)
Requirement already satisfied: torch==2.5.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.5.1+cu121)
Requirement already satisfied: pillow!=8.3.*,>=5.3.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (11.0.0)
Requirement already satisfied: filelock in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.13.1)
Requirement already satisfied: typing-extensions>=4.8.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (4.12.2)
Requirement already satisfied: networkx in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.3)
Requirement already satisfied: jinja2 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.4)
Requirement already satisfied: fsspec in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2024.6.1)
Requirement already satisfied: nvidia-cuda-nvrtc-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-runtime-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-cupti-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cudnn-cu12==9.1.0.70 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (9.1.0.70)
Requirement already satisfied: nvidia-cublas-cu12==12.1.3.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.3.1)
Requirement already satisfied: nvidia-cufft-cu12==11.0.2.54 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.0.2.54)
Requirement already satisfied: nvidia-curand-cu12==10.3.2.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (10.3.2.106)
Requirement already satisfied: nvidia-cusolver-cu12==11.4.5.107 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.4.5.107)
Requirement already satisfied: nvidia-cusparse-cu12==12.1.0.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.0.106)
Requirement already satisfied: nvidia-nccl-cu12==2.21.5 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2.21.5)
Requirement already satisfied: nvidia-nvtx-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: triton==3.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.0)
Requirement already satisfied: sympy==1.13.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (1.13.1)
Requirement already satisfied: nvidia-nvjitlink-cu12 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from nvidia-cusolver-cu12==11.4.5.107->torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: mpmath<1.4,>=1.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from sympy==1.13.1->torch==2.5.1->torchvision) (1.3.0)
Requirement already satisfied: MarkupSafe>=2.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from jinja2->torch==2.5.1->torchvision) (2.1.5)
Using device: cuda
Device name: Tesla V100-SXM2-16GB
with 16144.12 MB memory
Using 1 GPUs.


=== [1/10] Creating EA Adversarial Image for /home/users/atodorova/alisa-thesis/malnet-cnn/test/adware++grayware++virus/artemis/3E49D863921A32E6CF3A894BCA97FFBF55E54A0E3205DB51EB0487266E8D4085.png ===

--- Original Prediction Results ---
Predicted class: 42 (trojan)

Confidence     : 0.8943

True class     : 6 (adware++grayware++virus)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 1339 with confidence 0.3800!

Targeted adversarial image created in 1659 iterations.
Benign first predicted at iteration 1339 with confidence 0.3800.

Benign probability changes (iteration, prob):
Iteration 0: Benign prob = 0.0000
Iteration 234: Benign prob = 0.0000
Iteration 242: Benign prob = 0.0000
Iteration 253: Benign prob = 0.0001
Iteration 260: Benign prob = 0.0001
Iteration 271: Benign prob = 0.0001
Iteration 287: Benign prob = 0.0001
Iteration 304: Benign prob = 0.0001
Iteration 322: Benign prob = 0.0001
Iteration 334: Benign prob = 0.0001
Iteration 346: Benign prob = 0.0001
Iteration 355: Benign prob = 0.0001
Iteration 368: Benign prob = 0.0002
Iteration 379: Benign prob = 0.0002
Iteration 384: Benign prob = 0.0002
Iteration 391: Benign prob = 0.0002
Iteration 394: Benign prob = 0.0002
Iteration 399: Benign prob = 0.0002
Iteration 403: Benign prob = 0.0002
Iteration 407: Benign prob = 0.0003
Iteration 409: Benign prob = 0.0003
Iteration 411: Benign prob = 0.0003
Iteration 412: Benign prob = 0.0003
Iteration 415: Benign prob = 0.0003
Iteration 419: Benign prob = 0.0003
Iteration 421: Benign prob = 0.0003
Iteration 422: Benign prob = 0.0003
Iteration 426: Benign prob = 0.0004
Iteration 429: Benign prob = 0.0004
Iteration 431: Benign prob = 0.0004
Iteration 433: Benign prob = 0.0004
Iteration 434: Benign prob = 0.0004
Iteration 436: Benign prob = 0.0004
Iteration 439: Benign prob = 0.0004
Iteration 441: Benign prob = 0.0005
Iteration 442: Benign prob = 0.0005
Iteration 446: Benign prob = 0.0005
Iteration 447: Benign prob = 0.0006
Iteration 448: Benign prob = 0.0006
Iteration 452: Benign prob = 0.0006
Iteration 453: Benign prob = 0.0006
Iteration 454: Benign prob = 0.0007
Iteration 455: Benign prob = 0.0007
Iteration 457: Benign prob = 0.0007
Iteration 459: Benign prob = 0.0007
Iteration 460: Benign prob = 0.0008
Iteration 462: Benign prob = 0.0008
Iteration 465: Benign prob = 0.0008
Iteration 468: Benign prob = 0.0008
Iteration 469: Benign prob = 0.0009
Iteration 470: Benign prob = 0.0009
Iteration 472: Benign prob = 0.0010
Iteration 473: Benign prob = 0.0010
Iteration 475: Benign prob = 0.0010
Iteration 477: Benign prob = 0.0011
Iteration 478: Benign prob = 0.0011
Iteration 480: Benign prob = 0.0011
Iteration 481: Benign prob = 0.0012
Iteration 482: Benign prob = 0.0012
Iteration 483: Benign prob = 0.0013
Iteration 484: Benign prob = 0.0013
Iteration 486: Benign prob = 0.0013
Iteration 487: Benign prob = 0.0014
Iteration 489: Benign prob = 0.0014
Iteration 490: Benign prob = 0.0015
Iteration 492: Benign prob = 0.0015
Iteration 493: Benign prob = 0.0015
Iteration 494: Benign prob = 0.0016
Iteration 495: Benign prob = 0.0017
Iteration 497: Benign prob = 0.0017
Iteration 498: Benign prob = 0.0018
Iteration 499: Benign prob = 0.0018
Iteration 500: Benign prob = 0.0020
Iteration 501: Benign prob = 0.0020
Iteration 503: Benign prob = 0.0020
Iteration 504: Benign prob = 0.0020
Iteration 505: Benign prob = 0.0020
Iteration 507: Benign prob = 0.0021
Iteration 508: Benign prob = 0.0022
Iteration 510: Benign prob = 0.0023
Iteration 511: Benign prob = 0.0024
Iteration 512: Benign prob = 0.0025
Iteration 513: Benign prob = 0.0025
Iteration 514: Benign prob = 0.0025
Iteration 515: Benign prob = 0.0027
Iteration 516: Benign prob = 0.0028
Iteration 517: Benign prob = 0.0028
Iteration 518: Benign prob = 0.0029
Iteration 519: Benign prob = 0.0029
Iteration 520: Benign prob = 0.0030
Iteration 521: Benign prob = 0.0031
Iteration 522: Benign prob = 0.0032
Iteration 523: Benign prob = 0.0034
Iteration 526: Benign prob = 0.0036
Iteration 527: Benign prob = 0.0037
Iteration 528: Benign prob = 0.0038
Iteration 529: Benign prob = 0.0039
Iteration 530: Benign prob = 0.0040
Iteration 531: Benign prob = 0.0045
Iteration 532: Benign prob = 0.0045
Iteration 534: Benign prob = 0.0046
Iteration 535: Benign prob = 0.0048
Iteration 536: Benign prob = 0.0048
Iteration 537: Benign prob = 0.0050
Iteration 538: Benign prob = 0.0050
Iteration 539: Benign prob = 0.0052
Iteration 540: Benign prob = 0.0054
Iteration 541: Benign prob = 0.0055
Iteration 542: Benign prob = 0.0056
Iteration 543: Benign prob = 0.0058
Iteration 545: Benign prob = 0.0063
Iteration 547: Benign prob = 0.0065
Iteration 549: Benign prob = 0.0066
Iteration 551: Benign prob = 0.0070
Iteration 552: Benign prob = 0.0072
Iteration 553: Benign prob = 0.0072
Iteration 554: Benign prob = 0.0073
Iteration 556: Benign prob = 0.0075
Iteration 557: Benign prob = 0.0077
Iteration 558: Benign prob = 0.0079
Iteration 560: Benign prob = 0.0082
Iteration 561: Benign prob = 0.0083
Iteration 562: Benign prob = 0.0088
Iteration 563: Benign prob = 0.0090
Iteration 564: Benign prob = 0.0092
Iteration 565: Benign prob = 0.0093
Iteration 566: Benign prob = 0.0097
Iteration 567: Benign prob = 0.0100
Iteration 568: Benign prob = 0.0100
Iteration 569: Benign prob = 0.0104
Iteration 570: Benign prob = 0.0105
Iteration 571: Benign prob = 0.0106
Iteration 573: Benign prob = 0.0109
Iteration 574: Benign prob = 0.0110
Iteration 575: Benign prob = 0.0113
Iteration 576: Benign prob = 0.0116
Iteration 578: Benign prob = 0.0121
Iteration 579: Benign prob = 0.0123
Iteration 580: Benign prob = 0.0127
Iteration 581: Benign prob = 0.0128
Iteration 582: Benign prob = 0.0131
Iteration 583: Benign prob = 0.0132
Iteration 584: Benign prob = 0.0134
Iteration 585: Benign prob = 0.0142
Iteration 587: Benign prob = 0.0142
Iteration 588: Benign prob = 0.0147
Iteration 589: Benign prob = 0.0149
Iteration 590: Benign prob = 0.0149
Iteration 591: Benign prob = 0.0150
Iteration 592: Benign prob = 0.0152
Iteration 594: Benign prob = 0.0153
Iteration 595: Benign prob = 0.0158
Iteration 596: Benign prob = 0.0159
Iteration 597: Benign prob = 0.0159
Iteration 598: Benign prob = 0.0163
Iteration 599: Benign prob = 0.0165
Iteration 600: Benign prob = 0.0167
Iteration 601: Benign prob = 0.0169
Iteration 602: Benign prob = 0.0170
Iteration 603: Benign prob = 0.0179
Iteration 604: Benign prob = 0.0180
Iteration 605: Benign prob = 0.0180
Iteration 606: Benign prob = 0.0184
Iteration 607: Benign prob = 0.0187
Iteration 608: Benign prob = 0.0189
Iteration 609: Benign prob = 0.0192
Iteration 611: Benign prob = 0.0202
Iteration 613: Benign prob = 0.0204
Iteration 616: Benign prob = 0.0204
Iteration 617: Benign prob = 0.0206
Iteration 618: Benign prob = 0.0209
Iteration 619: Benign prob = 0.0209
Iteration 620: Benign prob = 0.0215
Iteration 621: Benign prob = 0.0216
Iteration 622: Benign prob = 0.0224
Iteration 623: Benign prob = 0.0225
Iteration 624: Benign prob = 0.0230
Iteration 625: Benign prob = 0.0238
Iteration 626: Benign prob = 0.0242
Iteration 627: Benign prob = 0.0245
Iteration 629: Benign prob = 0.0253
Iteration 630: Benign prob = 0.0253
Iteration 631: Benign prob = 0.0255
Iteration 632: Benign prob = 0.0256
Iteration 633: Benign prob = 0.0264
Iteration 635: Benign prob = 0.0270
Iteration 636: Benign prob = 0.0271
Iteration 637: Benign prob = 0.0273
Iteration 638: Benign prob = 0.0277
Iteration 639: Benign prob = 0.0278
Iteration 640: Benign prob = 0.0294
Iteration 641: Benign prob = 0.0295
Iteration 642: Benign prob = 0.0298
Iteration 643: Benign prob = 0.0314
Iteration 645: Benign prob = 0.0317
Iteration 646: Benign prob = 0.0325
Iteration 647: Benign prob = 0.0329
Iteration 649: Benign prob = 0.0334
Iteration 650: Benign prob = 0.0338
Iteration 651: Benign prob = 0.0339
Iteration 652: Benign prob = 0.0344
Iteration 653: Benign prob = 0.0359
Iteration 654: Benign prob = 0.0362
Iteration 655: Benign prob = 0.0364
Iteration 656: Benign prob = 0.0367
Iteration 657: Benign prob = 0.0381
Iteration 660: Benign prob = 0.0384
Iteration 662: Benign prob = 0.0410
Iteration 663: Benign prob = 0.0411
Iteration 664: Benign prob = 0.0413
Iteration 665: Benign prob = 0.0423
Iteration 666: Benign prob = 0.0438
Iteration 667: Benign prob = 0.0438
Iteration 669: Benign prob = 0.0463
Iteration 670: Benign prob = 0.0466
Iteration 671: Benign prob = 0.0474
Iteration 672: Benign prob = 0.0476
Iteration 673: Benign prob = 0.0482
Iteration 674: Benign prob = 0.0483
Iteration 675: Benign prob = 0.0486
Iteration 676: Benign prob = 0.0502
Iteration 677: Benign prob = 0.0511
Iteration 680: Benign prob = 0.0522
Iteration 681: Benign prob = 0.0526
Iteration 682: Benign prob = 0.0531
Iteration 683: Benign prob = 0.0539
Iteration 685: Benign prob = 0.0541
Iteration 686: Benign prob = 0.0551
Iteration 687: Benign prob = 0.0553
Iteration 688: Benign prob = 0.0560
Iteration 689: Benign prob = 0.0562
Iteration 691: Benign prob = 0.0565
Iteration 692: Benign prob = 0.0575
Iteration 694: Benign prob = 0.0586
Iteration 695: Benign prob = 0.0605
Iteration 697: Benign prob = 0.0608
Iteration 698: Benign prob = 0.0616
Iteration 700: Benign prob = 0.0633
Iteration 701: Benign prob = 0.0641
Iteration 702: Benign prob = 0.0644
Iteration 704: Benign prob = 0.0650
Iteration 705: Benign prob = 0.0651
Iteration 706: Benign prob = 0.0658
Iteration 708: Benign prob = 0.0675
Iteration 710: Benign prob = 0.0698
Iteration 711: Benign prob = 0.0700
Iteration 712: Benign prob = 0.0702
Iteration 713: Benign prob = 0.0703
Iteration 714: Benign prob = 0.0707
Iteration 715: Benign prob = 0.0715
Iteration 716: Benign prob = 0.0721
Iteration 718: Benign prob = 0.0724
Iteration 719: Benign prob = 0.0731
Iteration 720: Benign prob = 0.0739
Iteration 722: Benign prob = 0.0743
Iteration 723: Benign prob = 0.0749
Iteration 724: Benign prob = 0.0770
Iteration 725: Benign prob = 0.0782
Iteration 726: Benign prob = 0.0782
Iteration 730: Benign prob = 0.0793
Iteration 731: Benign prob = 0.0794
Iteration 732: Benign prob = 0.0807
Iteration 733: Benign prob = 0.0811
Iteration 734: Benign prob = 0.0813
Iteration 735: Benign prob = 0.0815
Iteration 736: Benign prob = 0.0816
Iteration 737: Benign prob = 0.0818
Iteration 738: Benign prob = 0.0839
Iteration 739: Benign prob = 0.0841
Iteration 741: Benign prob = 0.0858
Iteration 743: Benign prob = 0.0859
Iteration 744: Benign prob = 0.0861
Iteration 745: Benign prob = 0.0873
Iteration 748: Benign prob = 0.0876
Iteration 749: Benign prob = 0.0886
Iteration 751: Benign prob = 0.0889
Iteration 752: Benign prob = 0.0897
Iteration 753: Benign prob = 0.0907
Iteration 757: Benign prob = 0.0912
Iteration 758: Benign prob = 0.0914
Iteration 759: Benign prob = 0.0919
Iteration 761: Benign prob = 0.0925
Iteration 762: Benign prob = 0.0932
Iteration 764: Benign prob = 0.0934
Iteration 765: Benign prob = 0.0940
Iteration 766: Benign prob = 0.0959
Iteration 768: Benign prob = 0.0962
Iteration 770: Benign prob = 0.0974
Iteration 773: Benign prob = 0.0985
Iteration 775: Benign prob = 0.1004
Iteration 777: Benign prob = 0.1006
Iteration 779: Benign prob = 0.1006
Iteration 780: Benign prob = 0.1011
Iteration 781: Benign prob = 0.1021
Iteration 782: Benign prob = 0.1026
Iteration 783: Benign prob = 0.1030
