Requirement already satisfied: torchvision in ./y/envs/thesis_env_310/lib/python3.10/site-packages (0.20.1+cu121)
Requirement already satisfied: tqdm in ./y/envs/thesis_env_310/lib/python3.10/site-packages (4.67.1)
Requirement already satisfied: numpy in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.1.2)
Requirement already satisfied: torch==2.5.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.5.1+cu121)
Requirement already satisfied: pillow!=8.3.*,>=5.3.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (11.0.0)
Requirement already satisfied: filelock in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.13.1)
Requirement already satisfied: typing-extensions>=4.8.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (4.12.2)
Requirement already satisfied: networkx in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.3)
Requirement already satisfied: jinja2 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.4)
Requirement already satisfied: fsspec in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2024.6.1)
Requirement already satisfied: nvidia-cuda-nvrtc-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-runtime-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-cupti-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cudnn-cu12==9.1.0.70 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (9.1.0.70)
Requirement already satisfied: nvidia-cublas-cu12==12.1.3.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.3.1)
Requirement already satisfied: nvidia-cufft-cu12==11.0.2.54 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.0.2.54)
Requirement already satisfied: nvidia-curand-cu12==10.3.2.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (10.3.2.106)
Requirement already satisfied: nvidia-cusolver-cu12==11.4.5.107 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.4.5.107)
Requirement already satisfied: nvidia-cusparse-cu12==12.1.0.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.0.106)
Requirement already satisfied: nvidia-nccl-cu12==2.21.5 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2.21.5)
Requirement already satisfied: nvidia-nvtx-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: triton==3.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.0)
Requirement already satisfied: sympy==1.13.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (1.13.1)
Requirement already satisfied: nvidia-nvjitlink-cu12 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from nvidia-cusolver-cu12==11.4.5.107->torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: mpmath<1.4,>=1.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from sympy==1.13.1->torch==2.5.1->torchvision) (1.3.0)
Requirement already satisfied: MarkupSafe>=2.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from jinja2->torch==2.5.1->torchvision) (2.1.5)
Using device: cuda
Device name: Tesla V100-SXM2-16GB
with 16144.12 MB memory
Using 1 GPUs.


=== [1/10] Creating EA Adversarial Image for /home/users/atodorova/alisa-thesis/malnet-cnn/test/monitor/artemis/0BF449D0AAA83E726E4CA2813A2C3497BE6D0BE611F3BF971A68A3A90FD472B0.png ===

--- Original Prediction Results ---
Predicted class: 42 (trojan)

Confidence     : 0.9255

True class     : 27 (monitor)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 1321 with confidence 0.3763!

Targeted adversarial image created in 1706 iterations.
Benign first predicted at iteration 1321 with confidence 0.3763.

Benign probability changes (iteration, prob):
Iteration 0: Benign prob = 0.0000
Iteration 192: Benign prob = 0.0000
Iteration 207: Benign prob = 0.0000
Iteration 218: Benign prob = 0.0000
Iteration 232: Benign prob = 0.0001
Iteration 240: Benign prob = 0.0001
Iteration 251: Benign prob = 0.0001
Iteration 264: Benign prob = 0.0001
Iteration 278: Benign prob = 0.0001
Iteration 287: Benign prob = 0.0001
Iteration 301: Benign prob = 0.0001
Iteration 314: Benign prob = 0.0001
Iteration 328: Benign prob = 0.0001
Iteration 343: Benign prob = 0.0001
Iteration 351: Benign prob = 0.0002
Iteration 359: Benign prob = 0.0002
Iteration 364: Benign prob = 0.0002
Iteration 373: Benign prob = 0.0002
Iteration 379: Benign prob = 0.0002
Iteration 382: Benign prob = 0.0002
Iteration 385: Benign prob = 0.0002
Iteration 391: Benign prob = 0.0002
Iteration 394: Benign prob = 0.0003
Iteration 396: Benign prob = 0.0003
Iteration 398: Benign prob = 0.0003
Iteration 402: Benign prob = 0.0003
Iteration 404: Benign prob = 0.0003
Iteration 407: Benign prob = 0.0003
Iteration 411: Benign prob = 0.0004
Iteration 412: Benign prob = 0.0004
Iteration 417: Benign prob = 0.0004
Iteration 419: Benign prob = 0.0004
Iteration 422: Benign prob = 0.0004
Iteration 426: Benign prob = 0.0005
Iteration 429: Benign prob = 0.0005
Iteration 431: Benign prob = 0.0005
Iteration 432: Benign prob = 0.0005
Iteration 434: Benign prob = 0.0006
Iteration 436: Benign prob = 0.0006
Iteration 438: Benign prob = 0.0006
Iteration 440: Benign prob = 0.0006
Iteration 442: Benign prob = 0.0006
Iteration 443: Benign prob = 0.0006
Iteration 446: Benign prob = 0.0007
Iteration 447: Benign prob = 0.0007
Iteration 448: Benign prob = 0.0008
Iteration 449: Benign prob = 0.0008
Iteration 450: Benign prob = 0.0008
Iteration 452: Benign prob = 0.0008
Iteration 454: Benign prob = 0.0010
Iteration 455: Benign prob = 0.0010
Iteration 456: Benign prob = 0.0010
Iteration 457: Benign prob = 0.0010
Iteration 459: Benign prob = 0.0011
Iteration 461: Benign prob = 0.0011
Iteration 462: Benign prob = 0.0011
Iteration 465: Benign prob = 0.0012
Iteration 467: Benign prob = 0.0012
Iteration 469: Benign prob = 0.0012
Iteration 470: Benign prob = 0.0013
Iteration 472: Benign prob = 0.0014
Iteration 473: Benign prob = 0.0015
Iteration 474: Benign prob = 0.0015
Iteration 475: Benign prob = 0.0015
Iteration 477: Benign prob = 0.0016
Iteration 478: Benign prob = 0.0016
Iteration 479: Benign prob = 0.0016
Iteration 481: Benign prob = 0.0017
Iteration 482: Benign prob = 0.0017
Iteration 483: Benign prob = 0.0020
Iteration 485: Benign prob = 0.0020
Iteration 486: Benign prob = 0.0020
Iteration 487: Benign prob = 0.0021
Iteration 489: Benign prob = 0.0022
Iteration 490: Benign prob = 0.0022
Iteration 492: Benign prob = 0.0022
Iteration 493: Benign prob = 0.0023
Iteration 494: Benign prob = 0.0025
Iteration 495: Benign prob = 0.0025
Iteration 496: Benign prob = 0.0026
Iteration 497: Benign prob = 0.0026
Iteration 499: Benign prob = 0.0027
Iteration 500: Benign prob = 0.0029
Iteration 502: Benign prob = 0.0029
Iteration 503: Benign prob = 0.0029
Iteration 504: Benign prob = 0.0031
Iteration 505: Benign prob = 0.0031
Iteration 507: Benign prob = 0.0031
Iteration 508: Benign prob = 0.0034
Iteration 509: Benign prob = 0.0034
Iteration 510: Benign prob = 0.0037
Iteration 511: Benign prob = 0.0038
Iteration 512: Benign prob = 0.0038
Iteration 513: Benign prob = 0.0039
Iteration 514: Benign prob = 0.0039
Iteration 515: Benign prob = 0.0042
Iteration 516: Benign prob = 0.0042
Iteration 517: Benign prob = 0.0043
Iteration 518: Benign prob = 0.0043
Iteration 519: Benign prob = 0.0043
Iteration 520: Benign prob = 0.0046
Iteration 521: Benign prob = 0.0046
Iteration 522: Benign prob = 0.0047
Iteration 523: Benign prob = 0.0049
Iteration 524: Benign prob = 0.0049
Iteration 525: Benign prob = 0.0050
Iteration 526: Benign prob = 0.0052
Iteration 527: Benign prob = 0.0054
Iteration 528: Benign prob = 0.0055
Iteration 529: Benign prob = 0.0058
Iteration 530: Benign prob = 0.0058
Iteration 531: Benign prob = 0.0062
Iteration 532: Benign prob = 0.0063
Iteration 534: Benign prob = 0.0065
Iteration 535: Benign prob = 0.0067
Iteration 537: Benign prob = 0.0069
Iteration 538: Benign prob = 0.0071
Iteration 539: Benign prob = 0.0075
Iteration 540: Benign prob = 0.0078
Iteration 541: Benign prob = 0.0081
Iteration 542: Benign prob = 0.0083
Iteration 543: Benign prob = 0.0084
Iteration 545: Benign prob = 0.0088
Iteration 546: Benign prob = 0.0089
Iteration 547: Benign prob = 0.0090
Iteration 548: Benign prob = 0.0091
Iteration 549: Benign prob = 0.0092
Iteration 551: Benign prob = 0.0096
Iteration 552: Benign prob = 0.0101
Iteration 553: Benign prob = 0.0102
Iteration 554: Benign prob = 0.0105
Iteration 556: Benign prob = 0.0108
Iteration 557: Benign prob = 0.0112
Iteration 558: Benign prob = 0.0114
Iteration 560: Benign prob = 0.0117
Iteration 562: Benign prob = 0.0122
Iteration 563: Benign prob = 0.0132
Iteration 565: Benign prob = 0.0136
Iteration 566: Benign prob = 0.0139
Iteration 567: Benign prob = 0.0143
Iteration 568: Benign prob = 0.0146
Iteration 569: Benign prob = 0.0149
Iteration 571: Benign prob = 0.0151
Iteration 572: Benign prob = 0.0152
Iteration 573: Benign prob = 0.0158
Iteration 574: Benign prob = 0.0159
Iteration 576: Benign prob = 0.0161
Iteration 577: Benign prob = 0.0164
Iteration 578: Benign prob = 0.0176
Iteration 579: Benign prob = 0.0184
Iteration 580: Benign prob = 0.0188
Iteration 582: Benign prob = 0.0190
Iteration 583: Benign prob = 0.0194
Iteration 585: Benign prob = 0.0209
Iteration 587: Benign prob = 0.0214
Iteration 588: Benign prob = 0.0223
Iteration 590: Benign prob = 0.0224
Iteration 591: Benign prob = 0.0225
Iteration 593: Benign prob = 0.0226
Iteration 594: Benign prob = 0.0233
Iteration 595: Benign prob = 0.0235
Iteration 596: Benign prob = 0.0236
Iteration 597: Benign prob = 0.0244
Iteration 598: Benign prob = 0.0245
Iteration 599: Benign prob = 0.0249
Iteration 600: Benign prob = 0.0249
Iteration 601: Benign prob = 0.0251
Iteration 602: Benign prob = 0.0253
Iteration 603: Benign prob = 0.0265
Iteration 604: Benign prob = 0.0268
Iteration 605: Benign prob = 0.0268
Iteration 606: Benign prob = 0.0276
Iteration 607: Benign prob = 0.0281
Iteration 608: Benign prob = 0.0284
Iteration 610: Benign prob = 0.0287
Iteration 611: Benign prob = 0.0295
Iteration 612: Benign prob = 0.0298
Iteration 613: Benign prob = 0.0298
Iteration 614: Benign prob = 0.0302
Iteration 616: Benign prob = 0.0303
Iteration 617: Benign prob = 0.0308
Iteration 618: Benign prob = 0.0309
Iteration 619: Benign prob = 0.0314
Iteration 620: Benign prob = 0.0316
Iteration 621: Benign prob = 0.0322
Iteration 622: Benign prob = 0.0327
Iteration 624: Benign prob = 0.0333
Iteration 625: Benign prob = 0.0350
Iteration 626: Benign prob = 0.0352
Iteration 627: Benign prob = 0.0356
Iteration 628: Benign prob = 0.0361
Iteration 629: Benign prob = 0.0373
Iteration 630: Benign prob = 0.0374
Iteration 632: Benign prob = 0.0375
Iteration 633: Benign prob = 0.0393
Iteration 635: Benign prob = 0.0402
Iteration 637: Benign prob = 0.0407
Iteration 638: Benign prob = 0.0410
Iteration 640: Benign prob = 0.0420
Iteration 641: Benign prob = 0.0422
Iteration 642: Benign prob = 0.0432
Iteration 643: Benign prob = 0.0436
Iteration 644: Benign prob = 0.0438
Iteration 645: Benign prob = 0.0448
Iteration 646: Benign prob = 0.0457
Iteration 649: Benign prob = 0.0462
Iteration 650: Benign prob = 0.0465
Iteration 651: Benign prob = 0.0480
Iteration 652: Benign prob = 0.0484
Iteration 653: Benign prob = 0.0492
Iteration 654: Benign prob = 0.0501
Iteration 655: Benign prob = 0.0505
Iteration 656: Benign prob = 0.0510
Iteration 657: Benign prob = 0.0520
Iteration 660: Benign prob = 0.0521
Iteration 661: Benign prob = 0.0522
Iteration 662: Benign prob = 0.0556
Iteration 664: Benign prob = 0.0559
