Requirement already satisfied: torchvision in ./y/envs/thesis_env_310/lib/python3.10/site-packages (0.20.1+cu121)
Requirement already satisfied: tqdm in ./y/envs/thesis_env_310/lib/python3.10/site-packages (4.67.1)
Requirement already satisfied: numpy in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.1.2)
Requirement already satisfied: torch==2.5.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.5.1+cu121)
Requirement already satisfied: pillow!=8.3.*,>=5.3.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (11.0.0)
Requirement already satisfied: filelock in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.13.1)
Requirement already satisfied: typing-extensions>=4.8.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (4.12.2)
Requirement already satisfied: networkx in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.3)
Requirement already satisfied: jinja2 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.4)
Requirement already satisfied: fsspec in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2024.6.1)
Requirement already satisfied: nvidia-cuda-nvrtc-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-runtime-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-cupti-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cudnn-cu12==9.1.0.70 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (9.1.0.70)
Requirement already satisfied: nvidia-cublas-cu12==12.1.3.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.3.1)
Requirement already satisfied: nvidia-cufft-cu12==11.0.2.54 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.0.2.54)
Requirement already satisfied: nvidia-curand-cu12==10.3.2.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (10.3.2.106)
Requirement already satisfied: nvidia-cusolver-cu12==11.4.5.107 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.4.5.107)
Requirement already satisfied: nvidia-cusparse-cu12==12.1.0.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.0.106)
Requirement already satisfied: nvidia-nccl-cu12==2.21.5 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2.21.5)
Requirement already satisfied: nvidia-nvtx-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: triton==3.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.0)
Requirement already satisfied: sympy==1.13.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (1.13.1)
Requirement already satisfied: nvidia-nvjitlink-cu12 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from nvidia-cusolver-cu12==11.4.5.107->torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: mpmath<1.4,>=1.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from sympy==1.13.1->torch==2.5.1->torchvision) (1.3.0)
Requirement already satisfied: MarkupSafe>=2.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from jinja2->torch==2.5.1->torchvision) (2.1.5)
Using device: cuda
Device name: Tesla V100-SXM2-32GB
with 32494.12 MB memory
Using 1 GPUs.


=== [1/10] Creating EA Adversarial Image for /home/users/atodorova/alisa-thesis/malnet-cnn/test/adware++adware/dowgin/BA931E5BC159E833E5A19E74D68F7D61F14FA4B4683BE3707C1564B4F55CFCFC.png ===

--- Original Prediction Results ---
Predicted class: 42 (trojan)

Confidence     : 0.9423

True class     : 5 (adware++adware)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 1325 with confidence 0.3822!

Targeted adversarial image created in 1685 iterations.
Benign first predicted at iteration 1325 with confidence 0.3822.

Benign probability changes (iteration, prob):
Iteration 0: Benign prob = 0.0000
Iteration 191: Benign prob = 0.0000
Iteration 207: Benign prob = 0.0000
Iteration 216: Benign prob = 0.0000
Iteration 227: Benign prob = 0.0001
Iteration 236: Benign prob = 0.0001
Iteration 245: Benign prob = 0.0001
Iteration 260: Benign prob = 0.0001
Iteration 269: Benign prob = 0.0001
Iteration 283: Benign prob = 0.0001
Iteration 296: Benign prob = 0.0001
Iteration 316: Benign prob = 0.0001
Iteration 333: Benign prob = 0.0001
Iteration 346: Benign prob = 0.0001
Iteration 351: Benign prob = 0.0002
Iteration 357: Benign prob = 0.0002
Iteration 364: Benign prob = 0.0002
Iteration 368: Benign prob = 0.0002
Iteration 376: Benign prob = 0.0002
Iteration 382: Benign prob = 0.0002
Iteration 384: Benign prob = 0.0002
Iteration 390: Benign prob = 0.0002
Iteration 395: Benign prob = 0.0003
Iteration 398: Benign prob = 0.0003
Iteration 403: Benign prob = 0.0003
Iteration 407: Benign prob = 0.0003
Iteration 411: Benign prob = 0.0003
Iteration 412: Benign prob = 0.0004
Iteration 415: Benign prob = 0.0004
Iteration 417: Benign prob = 0.0004
Iteration 419: Benign prob = 0.0004
Iteration 421: Benign prob = 0.0004
Iteration 423: Benign prob = 0.0004
Iteration 426: Benign prob = 0.0005
Iteration 429: Benign prob = 0.0005
Iteration 431: Benign prob = 0.0005
Iteration 432: Benign prob = 0.0005
Iteration 434: Benign prob = 0.0006
Iteration 436: Benign prob = 0.0006
Iteration 437: Benign prob = 0.0006
Iteration 440: Benign prob = 0.0006
Iteration 442: Benign prob = 0.0007
Iteration 443: Benign prob = 0.0007
Iteration 446: Benign prob = 0.0007
Iteration 447: Benign prob = 0.0008
Iteration 448: Benign prob = 0.0008
Iteration 450: Benign prob = 0.0008
Iteration 452: Benign prob = 0.0009
Iteration 454: Benign prob = 0.0009
Iteration 455: Benign prob = 0.0010
Iteration 457: Benign prob = 0.0010
Iteration 459: Benign prob = 0.0011
Iteration 461: Benign prob = 0.0011
Iteration 462: Benign prob = 0.0011
Iteration 463: Benign prob = 0.0011
Iteration 465: Benign prob = 0.0012
Iteration 467: Benign prob = 0.0012
Iteration 469: Benign prob = 0.0012
Iteration 470: Benign prob = 0.0013
Iteration 472: Benign prob = 0.0013
Iteration 473: Benign prob = 0.0014
Iteration 475: Benign prob = 0.0014
Iteration 477: Benign prob = 0.0015
Iteration 478: Benign prob = 0.0015
Iteration 479: Benign prob = 0.0015
Iteration 481: Benign prob = 0.0016
Iteration 482: Benign prob = 0.0017
Iteration 483: Benign prob = 0.0018
Iteration 484: Benign prob = 0.0018
Iteration 485: Benign prob = 0.0018
Iteration 487: Benign prob = 0.0019
Iteration 489: Benign prob = 0.0020
Iteration 492: Benign prob = 0.0021
Iteration 493: Benign prob = 0.0022
Iteration 494: Benign prob = 0.0023
Iteration 495: Benign prob = 0.0023
Iteration 497: Benign prob = 0.0023
Iteration 498: Benign prob = 0.0024
Iteration 499: Benign prob = 0.0026
Iteration 500: Benign prob = 0.0026
Iteration 501: Benign prob = 0.0027
Iteration 504: Benign prob = 0.0028
Iteration 507: Benign prob = 0.0029
Iteration 508: Benign prob = 0.0031
Iteration 510: Benign prob = 0.0033
Iteration 511: Benign prob = 0.0033
Iteration 512: Benign prob = 0.0034
Iteration 513: Benign prob = 0.0035
Iteration 514: Benign prob = 0.0035
Iteration 515: Benign prob = 0.0036
Iteration 516: Benign prob = 0.0038
Iteration 517: Benign prob = 0.0039
Iteration 518: Benign prob = 0.0040
Iteration 519: Benign prob = 0.0040
Iteration 520: Benign prob = 0.0042
Iteration 521: Benign prob = 0.0043
Iteration 522: Benign prob = 0.0045
Iteration 524: Benign prob = 0.0046
Iteration 525: Benign prob = 0.0046
Iteration 526: Benign prob = 0.0049
Iteration 527: Benign prob = 0.0051
Iteration 529: Benign prob = 0.0053
Iteration 530: Benign prob = 0.0053
Iteration 531: Benign prob = 0.0058
Iteration 532: Benign prob = 0.0058
Iteration 534: Benign prob = 0.0061
Iteration 535: Benign prob = 0.0061
Iteration 536: Benign prob = 0.0062
Iteration 537: Benign prob = 0.0066
Iteration 538: Benign prob = 0.0067
Iteration 539: Benign prob = 0.0069
Iteration 540: Benign prob = 0.0070
Iteration 541: Benign prob = 0.0072
Iteration 542: Benign prob = 0.0073
Iteration 543: Benign prob = 0.0076
Iteration 545: Benign prob = 0.0080
Iteration 546: Benign prob = 0.0081
Iteration 547: Benign prob = 0.0082
Iteration 548: Benign prob = 0.0082
Iteration 549: Benign prob = 0.0083
Iteration 550: Benign prob = 0.0084
Iteration 551: Benign prob = 0.0088
Iteration 552: Benign prob = 0.0090
Iteration 553: Benign prob = 0.0090
Iteration 554: Benign prob = 0.0093
Iteration 556: Benign prob = 0.0094
Iteration 557: Benign prob = 0.0100
Iteration 559: Benign prob = 0.0101
Iteration 560: Benign prob = 0.0106
Iteration 562: Benign prob = 0.0108
Iteration 563: Benign prob = 0.0115
Iteration 564: Benign prob = 0.0115
Iteration 565: Benign prob = 0.0116
Iteration 566: Benign prob = 0.0120
Iteration 567: Benign prob = 0.0125
Iteration 568: Benign prob = 0.0126
Iteration 569: Benign prob = 0.0129
Iteration 571: Benign prob = 0.0130
Iteration 572: Benign prob = 0.0130
Iteration 573: Benign prob = 0.0134
Iteration 574: Benign prob = 0.0139
Iteration 575: Benign prob = 0.0139
Iteration 576: Benign prob = 0.0142
Iteration 577: Benign prob = 0.0143
Iteration 578: Benign prob = 0.0153
Iteration 579: Benign prob = 0.0161
Iteration 580: Benign prob = 0.0166
Iteration 581: Benign prob = 0.0167
Iteration 582: Benign prob = 0.0169
Iteration 583: Benign prob = 0.0170
Iteration 584: Benign prob = 0.0171
Iteration 585: Benign prob = 0.0184
Iteration 586: Benign prob = 0.0184
Iteration 587: Benign prob = 0.0189
Iteration 588: Benign prob = 0.0190
Iteration 589: Benign prob = 0.0192
Iteration 590: Benign prob = 0.0196
Iteration 591: Benign prob = 0.0197
Iteration 592: Benign prob = 0.0199
Iteration 593: Benign prob = 0.0200
Iteration 594: Benign prob = 0.0200
Iteration 595: Benign prob = 0.0207
Iteration 596: Benign prob = 0.0209
Iteration 597: Benign prob = 0.0212
Iteration 598: Benign prob = 0.0217
Iteration 599: Benign prob = 0.0219
Iteration 600: Benign prob = 0.0223
Iteration 602: Benign prob = 0.0223
Iteration 603: Benign prob = 0.0231
Iteration 604: Benign prob = 0.0236
Iteration 605: Benign prob = 0.0237
Iteration 606: Benign prob = 0.0240
Iteration 607: Benign prob = 0.0243
Iteration 608: Benign prob = 0.0245
Iteration 609: Benign prob = 0.0247
Iteration 610: Benign prob = 0.0249
Iteration 611: Benign prob = 0.0256
Iteration 612: Benign prob = 0.0258
Iteration 613: Benign prob = 0.0259
Iteration 614: Benign prob = 0.0262
Iteration 615: Benign prob = 0.0265
