Requirement already satisfied: torchvision in ./y/envs/thesis_env_310/lib/python3.10/site-packages (0.20.1+cu121)
Requirement already satisfied: tqdm in ./y/envs/thesis_env_310/lib/python3.10/site-packages (4.67.1)
Requirement already satisfied: numpy in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.1.2)
Requirement already satisfied: torch==2.5.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.5.1+cu121)
Requirement already satisfied: pillow!=8.3.*,>=5.3.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (11.0.0)
Requirement already satisfied: filelock in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.13.1)
Requirement already satisfied: typing-extensions>=4.8.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (4.12.2)
Requirement already satisfied: networkx in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.3)
Requirement already satisfied: jinja2 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.4)
Requirement already satisfied: fsspec in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2024.6.1)
Requirement already satisfied: nvidia-cuda-nvrtc-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-runtime-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-cupti-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cudnn-cu12==9.1.0.70 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (9.1.0.70)
Requirement already satisfied: nvidia-cublas-cu12==12.1.3.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.3.1)
Requirement already satisfied: nvidia-cufft-cu12==11.0.2.54 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.0.2.54)
Requirement already satisfied: nvidia-curand-cu12==10.3.2.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (10.3.2.106)
Requirement already satisfied: nvidia-cusolver-cu12==11.4.5.107 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.4.5.107)
Requirement already satisfied: nvidia-cusparse-cu12==12.1.0.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.0.106)
Requirement already satisfied: nvidia-nccl-cu12==2.21.5 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2.21.5)
Requirement already satisfied: nvidia-nvtx-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: triton==3.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.0)
Requirement already satisfied: sympy==1.13.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (1.13.1)
Requirement already satisfied: nvidia-nvjitlink-cu12 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from nvidia-cusolver-cu12==11.4.5.107->torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: mpmath<1.4,>=1.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from sympy==1.13.1->torch==2.5.1->torchvision) (1.3.0)
Requirement already satisfied: MarkupSafe>=2.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from jinja2->torch==2.5.1->torchvision) (2.1.5)
Using device: cuda
Device name: Tesla V100-SXM2-16GB
with 16144.12 MB memory
Using 1 GPUs.


=== [1/10] Creating EA Adversarial Image for /home/users/atodorova/alisa-thesis/malnet-cnn/test/backdoor/aqin/118B0000BEF537F62FD9A57D3670B211D5A20C3001EE1E4CC30F1EC5C287F35E.png ===

--- Original Prediction Results ---
Predicted class: 42 (trojan)

Confidence     : 0.8992

True class     : 9 (backdoor)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 1241 with confidence 0.3840!

Targeted adversarial image created in 1533 iterations.
Benign first predicted at iteration 1241 with confidence 0.3840.

Benign probability changes (iteration, prob):
Iteration 0: Benign prob = 0.0000
Iteration 209: Benign prob = 0.0000
Iteration 224: Benign prob = 0.0000
Iteration 236: Benign prob = 0.0000
Iteration 246: Benign prob = 0.0001
Iteration 258: Benign prob = 0.0001
Iteration 267: Benign prob = 0.0001
Iteration 275: Benign prob = 0.0001
Iteration 292: Benign prob = 0.0001
Iteration 307: Benign prob = 0.0001
Iteration 325: Benign prob = 0.0001
Iteration 339: Benign prob = 0.0001
Iteration 346: Benign prob = 0.0001
Iteration 354: Benign prob = 0.0002
Iteration 361: Benign prob = 0.0002
Iteration 366: Benign prob = 0.0002
Iteration 368: Benign prob = 0.0002
Iteration 376: Benign prob = 0.0002
Iteration 379: Benign prob = 0.0002
Iteration 384: Benign prob = 0.0002
Iteration 388: Benign prob = 0.0002
Iteration 392: Benign prob = 0.0003
Iteration 396: Benign prob = 0.0003
Iteration 398: Benign prob = 0.0003
Iteration 400: Benign prob = 0.0003
Iteration 403: Benign prob = 0.0003
Iteration 406: Benign prob = 0.0003
Iteration 407: Benign prob = 0.0004
Iteration 411: Benign prob = 0.0004
Iteration 412: Benign prob = 0.0004
Iteration 414: Benign prob = 0.0004
Iteration 417: Benign prob = 0.0004
Iteration 419: Benign prob = 0.0004
Iteration 420: Benign prob = 0.0005
Iteration 421: Benign prob = 0.0005
Iteration 423: Benign prob = 0.0005
Iteration 426: Benign prob = 0.0005
Iteration 429: Benign prob = 0.0005
Iteration 431: Benign prob = 0.0006
Iteration 432: Benign prob = 0.0006
Iteration 434: Benign prob = 0.0006
Iteration 436: Benign prob = 0.0007
Iteration 437: Benign prob = 0.0007
Iteration 440: Benign prob = 0.0007
Iteration 442: Benign prob = 0.0007
Iteration 445: Benign prob = 0.0007
Iteration 446: Benign prob = 0.0008
Iteration 447: Benign prob = 0.0008
Iteration 448: Benign prob = 0.0009
Iteration 450: Benign prob = 0.0009
Iteration 453: Benign prob = 0.0009
Iteration 454: Benign prob = 0.0010
Iteration 455: Benign prob = 0.0011
Iteration 456: Benign prob = 0.0011
Iteration 457: Benign prob = 0.0011
Iteration 459: Benign prob = 0.0011
Iteration 461: Benign prob = 0.0012
Iteration 462: Benign prob = 0.0013
Iteration 464: Benign prob = 0.0013
Iteration 467: Benign prob = 0.0013
Iteration 468: Benign prob = 0.0013
Iteration 469: Benign prob = 0.0014
Iteration 470: Benign prob = 0.0015
Iteration 471: Benign prob = 0.0015
Iteration 472: Benign prob = 0.0015
Iteration 473: Benign prob = 0.0017
Iteration 474: Benign prob = 0.0017
Iteration 475: Benign prob = 0.0018
Iteration 476: Benign prob = 0.0018
Iteration 477: Benign prob = 0.0018
Iteration 478: Benign prob = 0.0018
Iteration 479: Benign prob = 0.0019
Iteration 480: Benign prob = 0.0019
Iteration 481: Benign prob = 0.0020
Iteration 482: Benign prob = 0.0020
Iteration 483: Benign prob = 0.0022
Iteration 484: Benign prob = 0.0023
Iteration 486: Benign prob = 0.0024
Iteration 487: Benign prob = 0.0025
Iteration 489: Benign prob = 0.0025
Iteration 490: Benign prob = 0.0026
Iteration 492: Benign prob = 0.0026
Iteration 493: Benign prob = 0.0027
Iteration 494: Benign prob = 0.0028
Iteration 495: Benign prob = 0.0029
Iteration 497: Benign prob = 0.0030
Iteration 498: Benign prob = 0.0031
Iteration 499: Benign prob = 0.0032
Iteration 500: Benign prob = 0.0034
Iteration 501: Benign prob = 0.0035
Iteration 502: Benign prob = 0.0035
Iteration 504: Benign prob = 0.0036
Iteration 505: Benign prob = 0.0037
Iteration 506: Benign prob = 0.0037
Iteration 507: Benign prob = 0.0037
Iteration 508: Benign prob = 0.0039
Iteration 509: Benign prob = 0.0039
Iteration 510: Benign prob = 0.0041
Iteration 511: Benign prob = 0.0042
Iteration 512: Benign prob = 0.0042
Iteration 513: Benign prob = 0.0042
Iteration 514: Benign prob = 0.0043
Iteration 515: Benign prob = 0.0046
Iteration 516: Benign prob = 0.0047
Iteration 517: Benign prob = 0.0049
Iteration 519: Benign prob = 0.0049
Iteration 520: Benign prob = 0.0051
Iteration 521: Benign prob = 0.0053
Iteration 522: Benign prob = 0.0055
Iteration 523: Benign prob = 0.0056
Iteration 524: Benign prob = 0.0057
Iteration 525: Benign prob = 0.0057
Iteration 526: Benign prob = 0.0061
Iteration 527: Benign prob = 0.0063
Iteration 528: Benign prob = 0.0064
Iteration 529: Benign prob = 0.0065
Iteration 530: Benign prob = 0.0066
Iteration 531: Benign prob = 0.0068
Iteration 532: Benign prob = 0.0071
Iteration 533: Benign prob = 0.0071
Iteration 534: Benign prob = 0.0071
Iteration 535: Benign prob = 0.0073
Iteration 536: Benign prob = 0.0074
Iteration 537: Benign prob = 0.0076
Iteration 538: Benign prob = 0.0077
Iteration 539: Benign prob = 0.0081
Iteration 540: Benign prob = 0.0083
Iteration 541: Benign prob = 0.0085
Iteration 542: Benign prob = 0.0085
Iteration 543: Benign prob = 0.0091
Iteration 544: Benign prob = 0.0092
Iteration 545: Benign prob = 0.0098
Iteration 546: Benign prob = 0.0099
Iteration 547: Benign prob = 0.0100
Iteration 548: Benign prob = 0.0101
Iteration 549: Benign prob = 0.0103
Iteration 550: Benign prob = 0.0103
Iteration 551: Benign prob = 0.0107
Iteration 552: Benign prob = 0.0114
Iteration 553: Benign prob = 0.0116
Iteration 555: Benign prob = 0.0117
Iteration 556: Benign prob = 0.0119
Iteration 557: Benign prob = 0.0128
Iteration 558: Benign prob = 0.0130
Iteration 559: Benign prob = 0.0132
Iteration 560: Benign prob = 0.0135
Iteration 562: Benign prob = 0.0141
Iteration 563: Benign prob = 0.0150
Iteration 564: Benign prob = 0.0150
Iteration 565: Benign prob = 0.0159
Iteration 566: Benign prob = 0.0159
Iteration 567: Benign prob = 0.0165
Iteration 568: Benign prob = 0.0167
Iteration 569: Benign prob = 0.0171
Iteration 571: Benign prob = 0.0172
Iteration 572: Benign prob = 0.0173
Iteration 573: Benign prob = 0.0180
Iteration 574: Benign prob = 0.0182
Iteration 575: Benign prob = 0.0185
Iteration 576: Benign prob = 0.0186
Iteration 577: Benign prob = 0.0187
Iteration 578: Benign prob = 0.0203
Iteration 579: Benign prob = 0.0209
Iteration 580: Benign prob = 0.0227
Iteration 583: Benign prob = 0.0231
Iteration 584: Benign prob = 0.0233
Iteration 585: Benign prob = 0.0253
Iteration 587: Benign prob = 0.0260
Iteration 588: Benign prob = 0.0266
Iteration 589: Benign prob = 0.0278
Iteration 591: Benign prob = 0.0279
Iteration 592: Benign prob = 0.0284
Iteration 594: Benign prob = 0.0289
Iteration 595: Benign prob = 0.0290
Iteration 597: Benign prob = 0.0305
Iteration 598: Benign prob = 0.0308
Iteration 599: Benign prob = 0.0311
Iteration 600: Benign prob = 0.0315
Iteration 602: Benign prob = 0.0317
Iteration 603: Benign prob = 0.0335
Iteration 604: Benign prob = 0.0342
Iteration 606: Benign prob = 0.0345
Iteration 607: Benign prob = 0.0350
Iteration 608: Benign prob = 0.0357
Iteration 610: Benign prob = 0.0358
Iteration 611: Benign prob = 0.0367
Iteration 612: Benign prob = 0.0373
Iteration 614: Benign prob = 0.0377
Iteration 615: Benign prob = 0.0380
Iteration 617: Benign prob = 0.0384
Iteration 618: Benign prob = 0.0387
Iteration 619: Benign prob = 0.0390
Iteration 620: Benign prob = 0.0400
Iteration 621: Benign prob = 0.0408
Iteration 622: Benign prob = 0.0410
Iteration 623: Benign prob = 0.0411
Iteration 624: Benign prob = 0.0421
Iteration 625: Benign prob = 0.0435
Iteration 626: Benign prob = 0.0441
Iteration 627: Benign prob = 0.0448
Iteration 629: Benign prob = 0.0461
Iteration 631: Benign prob = 0.0461
Iteration 633: Benign prob = 0.0482
Iteration 635: Benign prob = 0.0493
Iteration 637: Benign prob = 0.0496
Iteration 638: Benign prob = 0.0508
Iteration 640: Benign prob = 0.0526
Iteration 641: Benign prob = 0.0531
Iteration 642: Benign prob = 0.0547
Iteration 645: Benign prob = 0.0553
Iteration 646: Benign prob = 0.0560
Iteration 647: Benign prob = 0.0562
Iteration 649: Benign prob = 0.0575
Iteration 650: Benign prob = 0.0580
Iteration 651: Benign prob = 0.0581
Iteration 652: Benign prob = 0.0589
Iteration 653: Benign prob = 0.0596
Iteration 654: Benign prob = 0.0606
Iteration 655: Benign prob = 0.0609
Iteration 656: Benign prob = 0.0611
Iteration 658: Benign prob = 0.0614
Iteration 659: Benign prob = 0.0616
Iteration 660: Benign prob = 0.0622
Iteration 661: Benign prob = 0.0623
Iteration 662: Benign prob = 0.0638
Iteration 664: Benign prob = 0.0643
Iteration 665: Benign prob = 0.0643
Iteration 666: Benign prob = 0.0654
Iteration 668: Benign prob = 0.0654
Iteration 669: Benign prob = 0.0680
Iteration 670: Benign prob = 0.0684
Iteration 672: Benign prob = 0.0693
Iteration 673: Benign prob = 0.0698
Iteration 674: Benign prob = 0.0703
Iteration 676: Benign prob = 0.0716
Iteration 678: Benign prob = 0.0726
Iteration 679: Benign prob = 0.0747
Iteration 681: Benign prob = 0.0748
Iteration 682: Benign prob = 0.0750
Iteration 683: Benign prob = 0.0759
Iteration 684: Benign prob = 0.0766
Iteration 686: Benign prob = 0.0780
Iteration 688: Benign prob = 0.0783
Iteration 689: Benign prob = 0.0794
Iteration 690: Benign prob = 0.0794
Iteration 691: Benign prob = 0.0795
Iteration 692: Benign prob = 0.0822
Iteration 693: Benign prob = 0.0830
Iteration 694: Benign prob = 0.0835
Iteration 695: Benign prob = 0.0869
Iteration 696: Benign prob = 0.0870
Iteration 697: Benign prob = 0.0872
Iteration 698: Benign prob = 0.0884
Iteration 699: Benign prob = 0.0890
Iteration 700: Benign prob = 0.0899
Iteration 701: Benign prob = 0.0912
Iteration 702: Benign prob = 0.0913
Iteration 703: Benign prob = 0.0918
Iteration 704: Benign prob = 0.0920
Iteration 706: Benign prob = 0.0924
Iteration 707: Benign prob = 0.0925
Iteration 708: Benign prob = 0.0948
Iteration 710: Benign prob = 0.0964
Iteration 714: Benign prob = 0.0964
Iteration 715: Benign prob = 0.0973
Iteration 716: Benign prob = 0.0980
Iteration 717: Benign prob = 0.0981
Iteration 718: Benign prob = 0.0988
Iteration 720: Benign prob = 0.0998
Iteration 721: Benign prob = 0.1010
Iteration 724: Benign prob = 0.1029
Iteration 725: Benign prob = 0.1037
Iteration 726: Benign prob = 0.1045
Iteration 728: Benign prob = 0.1054
Iteration 729: Benign prob = 0.1060
Iteration 730: Benign prob = 0.1072
Iteration 733: Benign prob = 0.1082
Iteration 734: Benign prob = 0.1104
Iteration 737: Benign prob = 0.1110
Iteration 738: Benign prob = 0.1129
Iteration 744: Benign prob = 0.1134
Iteration 745: Benign prob = 0.1134
Iteration 746: Benign prob = 0.1136
Iteration 747: Benign prob = 0.1137
Iteration 748: Benign prob = 0.1142
Iteration 749: Benign prob = 0.1152
Iteration 750: Benign prob = 0.1164
Iteration 751: Benign prob = 0.1165
Iteration 752: Benign prob = 0.1166
Iteration 753: Benign prob = 0.1180
Iteration 754: Benign prob = 0.1187
Iteration 755: Benign prob = 0.1192
Iteration 756: Benign prob = 0.1192
Iteration 757: Benign prob = 0.1197
Iteration 758: Benign prob = 0.1208
Iteration 759: Benign prob = 0.1216
Iteration 760: Benign prob = 0.1218
Iteration 762: Benign prob = 0.1237
Iteration 763: Benign prob = 0.1242
Iteration 764: Benign prob = 0.1259
Iteration 765: Benign prob = 0.1264
Iteration 766: Benign prob = 0.1289
Iteration 769: Benign prob = 0.1291
Iteration 770: Benign prob = 0.1299
Iteration 771: Benign prob = 0.1301
Iteration 772: Benign prob = 0.1308
Iteration 773: Benign prob = 0.1317
Iteration 774: Benign prob = 0.1321
Iteration 775: Benign prob = 0.1339
Iteration 776: Benign prob = 0.1359
Iteration 778: Benign prob = 0.1362
Iteration 780: Benign prob = 0.1367
Iteration 781: Benign prob = 0.1387
Iteration 782: Benign prob = 0.1407
Iteration 784: Benign prob = 0.1408
Iteration 786: Benign prob = 0.1421
Iteration 788: Benign prob = 0.1467
Iteration 790: Benign prob = 0.1478
Iteration 791: Benign prob = 0.1491
Iteration 793: Benign prob = 0.1498
Iteration 794: Benign prob = 0.1531
Iteration 797: Benign prob = 0.1552
Iteration 800: Benign prob = 0.1554
Iteration 802: Benign prob = 0.1581
Iteration 803: Benign prob = 0.1582
