Requirement already satisfied: torchvision in ./y/envs/thesis_env_310/lib/python3.10/site-packages (0.20.1+cu121)
Requirement already satisfied: tqdm in ./y/envs/thesis_env_310/lib/python3.10/site-packages (4.67.1)
Requirement already satisfied: numpy in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.1.2)
Requirement already satisfied: torch==2.5.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (2.5.1+cu121)
Requirement already satisfied: pillow!=8.3.*,>=5.3.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torchvision) (11.0.0)
Requirement already satisfied: filelock in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.13.1)
Requirement already satisfied: typing-extensions>=4.8.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (4.12.2)
Requirement already satisfied: networkx in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.3)
Requirement already satisfied: jinja2 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.4)
Requirement already satisfied: fsspec in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2024.6.1)
Requirement already satisfied: nvidia-cuda-nvrtc-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-runtime-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cuda-cupti-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: nvidia-cudnn-cu12==9.1.0.70 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (9.1.0.70)
Requirement already satisfied: nvidia-cublas-cu12==12.1.3.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.3.1)
Requirement already satisfied: nvidia-cufft-cu12==11.0.2.54 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.0.2.54)
Requirement already satisfied: nvidia-curand-cu12==10.3.2.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (10.3.2.106)
Requirement already satisfied: nvidia-cusolver-cu12==11.4.5.107 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (11.4.5.107)
Requirement already satisfied: nvidia-cusparse-cu12==12.1.0.106 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.0.106)
Requirement already satisfied: nvidia-nccl-cu12==2.21.5 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (2.21.5)
Requirement already satisfied: nvidia-nvtx-cu12==12.1.105 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: triton==3.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (3.1.0)
Requirement already satisfied: sympy==1.13.1 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from torch==2.5.1->torchvision) (1.13.1)
Requirement already satisfied: nvidia-nvjitlink-cu12 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from nvidia-cusolver-cu12==11.4.5.107->torch==2.5.1->torchvision) (12.1.105)
Requirement already satisfied: mpmath<1.4,>=1.1.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from sympy==1.13.1->torch==2.5.1->torchvision) (1.3.0)
Requirement already satisfied: MarkupSafe>=2.0 in ./y/envs/thesis_env_310/lib/python3.10/site-packages (from jinja2->torch==2.5.1->torchvision) (2.1.5)
Using device: cuda
Device name: Tesla V100-SXM2-32GB
with 32494.12 MB memory
Using 1 GPUs.


=== [1/10] Creating EA Adversarial Image for /home/users/atodorova/alisa-thesis/malnet-cnn/test/smssend/artemis/0F7E30F4CD49DC2E2D12F65AC7B32CDB2FCB277B125D8C6BAB1C746B347311DE.png ===

--- Original Prediction Results ---
Predicted class: 42 (trojan)

Confidence     : 0.7226

True class     : 34 (smssend)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 1289 with confidence 0.3948!

Targeted adversarial image created in 1571 iterations.
Benign first predicted at iteration 1289 with confidence 0.3948.

Benign probability changes (iteration, prob):
Iteration 0: Benign prob = 0.0000
Iteration 209: Benign prob = 0.0000
Iteration 215: Benign prob = 0.0000
Iteration 226: Benign prob = 0.0001
Iteration 232: Benign prob = 0.0001
Iteration 242: Benign prob = 0.0001
Iteration 251: Benign prob = 0.0001
Iteration 260: Benign prob = 0.0001
Iteration 274: Benign prob = 0.0001
Iteration 284: Benign prob = 0.0001
Iteration 296: Benign prob = 0.0001
Iteration 313: Benign prob = 0.0002
Iteration 325: Benign prob = 0.0002
Iteration 339: Benign prob = 0.0002
Iteration 350: Benign prob = 0.0002
Iteration 357: Benign prob = 0.0002
Iteration 364: Benign prob = 0.0002
Iteration 368: Benign prob = 0.0002
Iteration 377: Benign prob = 0.0002
Iteration 385: Benign prob = 0.0003
Iteration 391: Benign prob = 0.0003
Iteration 397: Benign prob = 0.0003
Iteration 401: Benign prob = 0.0003
Iteration 404: Benign prob = 0.0003
Iteration 411: Benign prob = 0.0003
Iteration 414: Benign prob = 0.0004
Iteration 417: Benign prob = 0.0004
Iteration 418: Benign prob = 0.0004
Iteration 420: Benign prob = 0.0004
Iteration 422: Benign prob = 0.0004
Iteration 426: Benign prob = 0.0004
Iteration 429: Benign prob = 0.0004
Iteration 432: Benign prob = 0.0005
Iteration 434: Benign prob = 0.0005
Iteration 437: Benign prob = 0.0005
Iteration 440: Benign prob = 0.0005
Iteration 442: Benign prob = 0.0006
Iteration 446: Benign prob = 0.0006
Iteration 447: Benign prob = 0.0006
Iteration 448: Benign prob = 0.0007
Iteration 449: Benign prob = 0.0007
Iteration 450: Benign prob = 0.0007
Iteration 452: Benign prob = 0.0007
Iteration 453: Benign prob = 0.0007
Iteration 454: Benign prob = 0.0008
Iteration 455: Benign prob = 0.0008
Iteration 456: Benign prob = 0.0008
Iteration 457: Benign prob = 0.0008
Iteration 459: Benign prob = 0.0009
Iteration 461: Benign prob = 0.0009
Iteration 462: Benign prob = 0.0010
Iteration 465: Benign prob = 0.0010
Iteration 467: Benign prob = 0.0010
Iteration 469: Benign prob = 0.0011
Iteration 470: Benign prob = 0.0011
Iteration 471: Benign prob = 0.0011
Iteration 472: Benign prob = 0.0012
Iteration 473: Benign prob = 0.0012
Iteration 475: Benign prob = 0.0012
Iteration 476: Benign prob = 0.0013
Iteration 477: Benign prob = 0.0013
Iteration 478: Benign prob = 0.0013
Iteration 480: Benign prob = 0.0014
Iteration 481: Benign prob = 0.0014
Iteration 482: Benign prob = 0.0015
Iteration 483: Benign prob = 0.0015
Iteration 484: Benign prob = 0.0016
Iteration 486: Benign prob = 0.0016
Iteration 487: Benign prob = 0.0017
Iteration 489: Benign prob = 0.0018
Iteration 490: Benign prob = 0.0018
Iteration 492: Benign prob = 0.0019
Iteration 493: Benign prob = 0.0019
Iteration 494: Benign prob = 0.0020
Iteration 495: Benign prob = 0.0020
Iteration 496: Benign prob = 0.0021
Iteration 497: Benign prob = 0.0021
Iteration 499: Benign prob = 0.0023
Iteration 500: Benign prob = 0.0024
Iteration 501: Benign prob = 0.0024
Iteration 504: Benign prob = 0.0025
Iteration 505: Benign prob = 0.0026
Iteration 507: Benign prob = 0.0026
Iteration 508: Benign prob = 0.0027
Iteration 509: Benign prob = 0.0027
Iteration 510: Benign prob = 0.0029
Iteration 511: Benign prob = 0.0030
Iteration 512: Benign prob = 0.0030
Iteration 514: Benign prob = 0.0030
Iteration 515: Benign prob = 0.0032
Iteration 516: Benign prob = 0.0033
Iteration 517: Benign prob = 0.0034
Iteration 518: Benign prob = 0.0034
Iteration 519: Benign prob = 0.0035
Iteration 520: Benign prob = 0.0036
Iteration 521: Benign prob = 0.0037
Iteration 522: Benign prob = 0.0040
Iteration 523: Benign prob = 0.0040
Iteration 524: Benign prob = 0.0041
Iteration 526: Benign prob = 0.0043
Iteration 527: Benign prob = 0.0045
Iteration 528: Benign prob = 0.0046
Iteration 529: Benign prob = 0.0047
Iteration 530: Benign prob = 0.0048
Iteration 531: Benign prob = 0.0050
Iteration 532: Benign prob = 0.0053
Iteration 534: Benign prob = 0.0054
Iteration 535: Benign prob = 0.0055
Iteration 537: Benign prob = 0.0058
Iteration 538: Benign prob = 0.0060
Iteration 539: Benign prob = 0.0062
Iteration 540: Benign prob = 0.0064
Iteration 541: Benign prob = 0.0065
Iteration 542: Benign prob = 0.0066
Iteration 543: Benign prob = 0.0068
Iteration 544: Benign prob = 0.0068
Iteration 545: Benign prob = 0.0072
Iteration 546: Benign prob = 0.0074
Iteration 548: Benign prob = 0.0075
Iteration 549: Benign prob = 0.0076
Iteration 550: Benign prob = 0.0077
Iteration 551: Benign prob = 0.0080
Iteration 552: Benign prob = 0.0082
Iteration 553: Benign prob = 0.0083
Iteration 554: Benign prob = 0.0085
Iteration 555: Benign prob = 0.0086
Iteration 556: Benign prob = 0.0087
Iteration 557: Benign prob = 0.0092
Iteration 559: Benign prob = 0.0093
Iteration 560: Benign prob = 0.0097
Iteration 561: Benign prob = 0.0098
Iteration 562: Benign prob = 0.0100
Iteration 563: Benign prob = 0.0110
Iteration 565: Benign prob = 0.0111
Iteration 566: Benign prob = 0.0113
Iteration 567: Benign prob = 0.0118
Iteration 568: Benign prob = 0.0122
Iteration 569: Benign prob = 0.0126
Iteration 570: Benign prob = 0.0126
Iteration 572: Benign prob = 0.0128
Iteration 573: Benign prob = 0.0132
Iteration 574: Benign prob = 0.0133
Iteration 575: Benign prob = 0.0135
Iteration 576: Benign prob = 0.0136
Iteration 577: Benign prob = 0.0138
Iteration 578: Benign prob = 0.0148
Iteration 579: Benign prob = 0.0151
Iteration 580: Benign prob = 0.0159
Iteration 581: Benign prob = 0.0159
Iteration 582: Benign prob = 0.0160
Iteration 583: Benign prob = 0.0164
Iteration 584: Benign prob = 0.0167
Iteration 585: Benign prob = 0.0180
Iteration 587: Benign prob = 0.0181
Iteration 588: Benign prob = 0.0187
Iteration 589: Benign prob = 0.0189
Iteration 591: Benign prob = 0.0189
Iteration 592: Benign prob = 0.0193
Iteration 594: Benign prob = 0.0194
Iteration 595: Benign prob = 0.0200
Iteration 596: Benign prob = 0.0201
Iteration 597: Benign prob = 0.0203
Iteration 598: Benign prob = 0.0208
Iteration 599: Benign prob = 0.0211
Iteration 600: Benign prob = 0.0213
Iteration 602: Benign prob = 0.0214
Iteration 603: Benign prob = 0.0229
Iteration 606: Benign prob = 0.0233
Iteration 607: Benign prob = 0.0238
Iteration 608: Benign prob = 0.0240
Iteration 609: Benign prob = 0.0241
Iteration 610: Benign prob = 0.0242
Iteration 611: Benign prob = 0.0250
Iteration 613: Benign prob = 0.0252
Iteration 614: Benign prob = 0.0254
Iteration 617: Benign prob = 0.0258
Iteration 618: Benign prob = 0.0261
Iteration 619: Benign prob = 0.0263
Iteration 620: Benign prob = 0.0265
Iteration 621: Benign prob = 0.0271
Iteration 622: Benign prob = 0.0274
Iteration 623: Benign prob = 0.0276
Iteration 624: Benign prob = 0.0280
Iteration 625: Benign prob = 0.0289
Iteration 626: Benign prob = 0.0295
Iteration 627: Benign prob = 0.0297
Iteration 628: Benign prob = 0.0298
Iteration 629: Benign prob = 0.0299
Iteration 630: Benign prob = 0.0301
Iteration 631: Benign prob = 0.0302
Iteration 632: Benign prob = 0.0303
Iteration 633: Benign prob = 0.0317
Iteration 634: Benign prob = 0.0317
Iteration 635: Benign prob = 0.0321
Iteration 637: Benign prob = 0.0327
Iteration 638: Benign prob = 0.0333
Iteration 639: Benign prob = 0.0336
Iteration 640: Benign prob = 0.0342
Iteration 641: Benign prob = 0.0345
Iteration 642: Benign prob = 0.0360
Iteration 643: Benign prob = 0.0361
Iteration 644: Benign prob = 0.0363
Iteration 645: Benign prob = 0.0367
Iteration 647: Benign prob = 0.0368
Iteration 648: Benign prob = 0.0372
Iteration 649: Benign prob = 0.0373
Iteration 650: Benign prob = 0.0379
Iteration 651: Benign prob = 0.0384
Iteration 652: Benign prob = 0.0387
Iteration 653: Benign prob = 0.0410
Iteration 654: Benign prob = 0.0414
Iteration 655: Benign prob = 0.0417
Iteration 656: Benign prob = 0.0428
Iteration 657: Benign prob = 0.0429
Iteration 659: Benign prob = 0.0438
Iteration 660: Benign prob = 0.0441
Iteration 661: Benign prob = 0.0441
Iteration 662: Benign prob = 0.0458
Iteration 664: Benign prob = 0.0464
Iteration 665: Benign prob = 0.0465
Iteration 666: Benign prob = 0.0468
Iteration 667: Benign prob = 0.0473
Iteration 669: Benign prob = 0.0485
Iteration 670: Benign prob = 0.0492
Iteration 671: Benign prob = 0.0512
Iteration 672: Benign prob = 0.0522
Iteration 674: Benign prob = 0.0538
Iteration 675: Benign prob = 0.0545
Iteration 676: Benign prob = 0.0550
Iteration 677: Benign prob = 0.0558
Iteration 678: Benign prob = 0.0563
Iteration 679: Benign prob = 0.0569
Iteration 680: Benign prob = 0.0574
Iteration 681: Benign prob = 0.0577
Iteration 682: Benign prob = 0.0578
Iteration 683: Benign prob = 0.0604
Iteration 687: Benign prob = 0.0609
Iteration 688: Benign prob = 0.0617
Iteration 689: Benign prob = 0.0620
Iteration 690: Benign prob = 0.0622
Iteration 691: Benign prob = 0.0624
Iteration 692: Benign prob = 0.0632
Iteration 693: Benign prob = 0.0636
Iteration 694: Benign prob = 0.0655
Iteration 695: Benign prob = 0.0667
Iteration 697: Benign prob = 0.0672
Iteration 698: Benign prob = 0.0674
Iteration 699: Benign prob = 0.0688
Iteration 700: Benign prob = 0.0697
Iteration 701: Benign prob = 0.0717
Iteration 702: Benign prob = 0.0718
Iteration 703: Benign prob = 0.0722
Iteration 704: Benign prob = 0.0724
Iteration 706: Benign prob = 0.0729
Iteration 707: Benign prob = 0.0732
Iteration 708: Benign prob = 0.0749
Iteration 709: Benign prob = 0.0750
Iteration 710: Benign prob = 0.0752
Iteration 711: Benign prob = 0.0755
Iteration 712: Benign prob = 0.0758
Iteration 713: Benign prob = 0.0758
Iteration 714: Benign prob = 0.0762
Iteration 715: Benign prob = 0.0775
Iteration 716: Benign prob = 0.0784
Iteration 719: Benign prob = 0.0797
Iteration 720: Benign prob = 0.0798
Iteration 721: Benign prob = 0.0813
Iteration 722: Benign prob = 0.0820
Iteration 724: Benign prob = 0.0826
Iteration 725: Benign prob = 0.0839
Iteration 727: Benign prob = 0.0844
Iteration 729: Benign prob = 0.0857
Iteration 730: Benign prob = 0.0871
Iteration 731: Benign prob = 0.0872
Iteration 733: Benign prob = 0.0880
Iteration 734: Benign prob = 0.0887
Iteration 735: Benign prob = 0.0887
Iteration 737: Benign prob = 0.0905
Iteration 738: Benign prob = 0.0908
Iteration 739: Benign prob = 0.0916
Iteration 741: Benign prob = 0.0925
Iteration 742: Benign prob = 0.0929
Iteration 744: Benign prob = 0.0932
Iteration 745: Benign prob = 0.0937
Iteration 746: Benign prob = 0.0938
Iteration 748: Benign prob = 0.0942
Iteration 749: Benign prob = 0.0962
Iteration 750: Benign prob = 0.0963
Iteration 753: Benign prob = 0.0972
Iteration 754: Benign prob = 0.0979
Iteration 758: Benign prob = 0.0985
Iteration 759: Benign prob = 0.0995
Iteration 761: Benign prob = 0.0999
Iteration 762: Benign prob = 0.1010
Iteration 763: Benign prob = 0.1033
Iteration 765: Benign prob = 0.1034
Iteration 766: Benign prob = 0.1035
Iteration 767: Benign prob = 0.1058
Iteration 772: Benign prob = 0.1060
Iteration 773: Benign prob = 0.1066
Iteration 775: Benign prob = 0.1080
Iteration 776: Benign prob = 0.1080
Iteration 777: Benign prob = 0.1086
Iteration 780: Benign prob = 0.1093
Iteration 781: Benign prob = 0.1099
Iteration 782: Benign prob = 0.1102
Iteration 783: Benign prob = 0.1121
Iteration 787: Benign prob = 0.1123
Iteration 788: Benign prob = 0.1138
Iteration 792: Benign prob = 0.1146
Iteration 794: Benign prob = 0.1155
Iteration 796: Benign prob = 0.1159
Iteration 797: Benign prob = 0.1178
Iteration 802: Benign prob = 0.1199
Iteration 803: Benign prob = 0.1199
Iteration 806: Benign prob = 0.1201
Iteration 807: Benign prob = 0.1209
Iteration 808: Benign prob = 0.1211
Iteration 810: Benign prob = 0.1214
Iteration 811: Benign prob = 0.1216
Iteration 812: Benign prob = 0.1219
Iteration 813: Benign prob = 0.1229
Iteration 815: Benign prob = 0.1255
Iteration 817: Benign prob = 0.1262
Iteration 820: Benign prob = 0.1287
